Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 12 2022
command line - -import /home/danilo/cbc-test-set/neos-872648.mps.gz -timeM elapsed -seconds 10800 -knapsack off -solve -solu sol-group-root-2/neos-872648.txt -quit (default strategy 1)
At line 1 NAME          neos-872648
At line 2 ROWS
At line 93295 COLUMNS
At line 531311 RHS
At line 531314 BOUNDS
At line 706534 ENDATA
Problem neos-872648 has 93291 rows, 175219 columns and 350438 elements
Coin0008I neos-872648 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 3.35557 - 243.432 seconds
Cgl0004I processed model has 93265 rows, 175151 columns (87575 integer (87575 of which binary)) and 350278 elements
Coin3009W Conflict graph built in 0.193 seconds, density: 0.000%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 148 integers unsatisfied sum - 10.4873
Cbc0038I Pass   1: (359.79 seconds) suminf.    2.83412 (84) obj. 10.8111 iterations 17960
Cbc0038I Pass   2: (402.37 seconds) suminf.    0.58800 (41) obj. 107.503 iterations 7862
Cbc0038I Pass   3: (415.63 seconds) suminf.    0.28153 (28) obj. 139.616 iterations 1810
Cbc0038I Pass   4: (447.99 seconds) suminf.    0.08996 (17) obj. 167.957 iterations 6737
Cbc0038I Pass   5: (462.74 seconds) suminf.    0.00099 (1) obj. 208.544 iterations 6051
Cbc0038I Pass   6: (463.03 seconds) suminf.    0.00099 (1) obj. 208.544 iterations 0
Cbc0038I Pass   7: (553.82 seconds) suminf.    0.02871 (6) obj. 4803.69 iterations 24742
Cbc0038I Pass   8: (554.40 seconds) suminf.    0.02871 (4) obj. 4803.69 iterations 4
Cbc0038I Pass   9: (560.28 seconds) suminf.    0.00099 (1) obj. 4811.57 iterations 830
Cbc0038I Pass  10: (560.57 seconds) suminf.    0.00099 (1) obj. 4811.57 iterations 0
Cbc0038I Pass  11: (567.86 seconds) suminf.    0.04778 (1) obj. 9459.98 iterations 3043
Cbc0038I Pass  12: (568.43 seconds) suminf.    0.04778 (1) obj. 9459.98 iterations 3
Cbc0038I Solution found of 9460.08
Cbc0038I Relaxing continuous gives 9460.08
Cbc0038I Rounding solution of 208.088 is better than previous of 9460.08
Cbc0038I Before mini branch and bound, 84190 integers at bound fixed and 86040 continuous
Cbc0038I Full problem 93265 rows 175151 columns, reduced to 516 rows 600 columns
Cbc0038I Mini branch and bound improved solution from 208.088 to 61.8621 (573.88 seconds)
Cbc0038I Freeing continuous variables gives a solution of 61.8621
Cbc0038I Round again with cutoff of 56.017
Cbc0038I Pass  13: (578.81 seconds) suminf.    2.83412 (84) obj. 10.8111 iterations 0
Cbc0038I Pass  14: (1174.62 seconds) suminf.    2.11287 (641) obj. 56.017 iterations 92190
Cbc0038I Pass  15: (1456.98 seconds) suminf.    1.55684 (1145) obj. 52.7844 iterations 60351
Cbc0038I Pass  16: (1959.41 seconds) suminf.    2.51588 (939) obj. 56.017 iterations 52886
Cbc0038I Pass  17: (2263.47 seconds) suminf.    1.97557 (1633) obj. 54.3796 iterations 64474
Cbc0038I No solution found this major pass
Cbc0038I After 2263.50 seconds - Feasibility pump exiting with objective of 61.8621 - took 1952.57 seconds
Cbc0012I Integer solution of 61.862064 found by feasibility pump after 0 iterations and 0 nodes (2328.97 seconds)
Cbc0012I Integer solution of 52.671483 found by DiveCoefficient after 0 iterations and 0 nodes (2429.56 seconds)
Cbc0031I 396 added rows had average density of 278.44444
Cbc0013I At root node, 396 cuts changed objective from 3.4125948 to 39.630303 in 50 passes
Cbc0014I Cut generator 0 (Probing) - 3 row cuts average 7.7 elements, 0 column cuts (88 active)  in 19.476 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 754 row cuts average 409.6 elements, 0 column cuts (0 active)  in 58.055 seconds - new frequency is 1
Cbc0014I Cut generator 2 (liftKnapsack) - 40 row cuts average 367.5 elements, 0 column cuts (0 active)  in 266.854 seconds - new frequency is 1
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.133 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.278 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 2810 row cuts average 321.7 elements, 0 column cuts (0 active)  in 33.396 seconds - new frequency is 1
Cbc0014I Cut generator 6 (FlowCover) - 26 row cuts average 92.0 elements, 0 column cuts (0 active)  in 6.522 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 342 row cuts average 156.8 elements, 0 column cuts (0 active)  in 24.791 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 52.671483 best solution, best possible 39.630303 (4551.52 seconds)
Cbc0010I After 1 nodes, 2 on tree, 52.671483 best solution, best possible 39.630303 (4728.27 seconds)
Cbc0010I After 2 nodes, 3 on tree, 52.671483 best solution, best possible 39.630303 (4861.23 seconds)
Cbc0010I After 3 nodes, 4 on tree, 52.671483 best solution, best possible 39.630303 (4955.62 seconds)
Cbc0010I After 4 nodes, 5 on tree, 52.671483 best solution, best possible 39.630303 (5080.91 seconds)
Cbc0010I After 5 nodes, 6 on tree, 52.671483 best solution, best possible 39.630303 (5276.34 seconds)
Cbc0010I After 6 nodes, 7 on tree, 52.671483 best solution, best possible 39.630303 (5333.95 seconds)
Cbc0010I After 7 nodes, 8 on tree, 52.671483 best solution, best possible 39.630303 (5416.50 seconds)
Cbc0010I After 8 nodes, 9 on tree, 52.671483 best solution, best possible 39.630303 (5559.36 seconds)
Cbc0010I After 9 nodes, 9 on tree, 52.671483 best solution, best possible 39.630303 (5678.85 seconds)
Cbc0010I After 10 nodes, 10 on tree, 52.671483 best solution, best possible 39.630303 (5748.00 seconds)
Cbc0010I After 11 nodes, 10 on tree, 52.671483 best solution, best possible 39.630303 (5806.64 seconds)
Cbc0010I After 12 nodes, 11 on tree, 52.671483 best solution, best possible 39.630303 (5902.68 seconds)
Cbc0010I After 13 nodes, 11 on tree, 52.671483 best solution, best possible 39.630303 (5976.82 seconds)
Cbc0010I After 14 nodes, 12 on tree, 52.671483 best solution, best possible 39.630303 (6042.32 seconds)
Cbc0010I After 15 nodes, 13 on tree, 52.671483 best solution, best possible 39.630303 (6118.64 seconds)
Cbc0010I After 16 nodes, 13 on tree, 52.671483 best solution, best possible 39.630303 (6196.81 seconds)
Cbc0010I After 17 nodes, 14 on tree, 52.671483 best solution, best possible 39.630303 (6291.52 seconds)
Cbc0010I After 18 nodes, 14 on tree, 52.671483 best solution, best possible 39.630303 (6417.38 seconds)
Cbc0010I After 19 nodes, 15 on tree, 52.671483 best solution, best possible 39.630303 (6489.70 seconds)
Cbc0010I After 20 nodes, 15 on tree, 52.671483 best solution, best possible 39.630303 (7416.11 seconds)
Cbc0010I After 21 nodes, 16 on tree, 52.671483 best solution, best possible 39.630303 (7489.47 seconds)
Cbc0010I After 22 nodes, 16 on tree, 52.671483 best solution, best possible 39.630303 (7559.01 seconds)
Cbc0010I After 23 nodes, 17 on tree, 52.671483 best solution, best possible 39.630303 (7591.97 seconds)
Cbc0010I After 24 nodes, 17 on tree, 52.671483 best solution, best possible 39.630303 (7664.25 seconds)
Cbc0010I After 25 nodes, 17 on tree, 52.671483 best solution, best possible 39.630303 (7714.11 seconds)
Cbc0010I After 26 nodes, 18 on tree, 52.671483 best solution, best possible 39.630303 (7769.56 seconds)
Cbc0010I After 27 nodes, 18 on tree, 52.671483 best solution, best possible 39.630303 (7829.60 seconds)
Cbc0010I After 28 nodes, 19 on tree, 52.671483 best solution, best possible 39.630303 (7870.02 seconds)
Cbc0010I After 29 nodes, 20 on tree, 52.671483 best solution, best possible 39.630303 (7904.75 seconds)
Cbc0010I After 30 nodes, 21 on tree, 52.671483 best solution, best possible 39.630303 (7944.25 seconds)
Cbc0010I After 31 nodes, 21 on tree, 52.671483 best solution, best possible 39.630303 (7994.43 seconds)
Cbc0010I After 32 nodes, 21 on tree, 52.671483 best solution, best possible 39.630303 (8054.50 seconds)
Cbc0010I After 33 nodes, 22 on tree, 52.671483 best solution, best possible 39.630303 (8090.56 seconds)
Cbc0010I After 34 nodes, 23 on tree, 52.671483 best solution, best possible 39.630303 (8112.30 seconds)
Cbc0010I After 35 nodes, 24 on tree, 52.671483 best solution, best possible 39.630303 (8134.99 seconds)
Cbc0010I After 36 nodes, 24 on tree, 52.671483 best solution, best possible 39.630303 (8192.05 seconds)
Cbc0010I After 37 nodes, 24 on tree, 52.671483 best solution, best possible 39.630303 (8220.47 seconds)
Cbc0010I After 38 nodes, 24 on tree, 52.671483 best solution, best possible 39.630303 (8256.90 seconds)
Cbc0010I After 39 nodes, 25 on tree, 52.671483 best solution, best possible 39.630303 (8308.44 seconds)
Cbc0010I After 40 nodes, 25 on tree, 52.671483 best solution, best possible 39.630303 (8373.94 seconds)
Cbc0010I After 41 nodes, 26 on tree, 52.671483 best solution, best possible 39.630303 (8401.14 seconds)
Cbc0010I After 42 nodes, 27 on tree, 52.671483 best solution, best possible 39.630303 (8440.36 seconds)
Cbc0010I After 43 nodes, 27 on tree, 52.671483 best solution, best possible 39.630303 (8499.93 seconds)
Cbc0010I After 44 nodes, 27 on tree, 52.671483 best solution, best possible 39.630303 (8538.01 seconds)
Cbc0010I After 45 nodes, 28 on tree, 52.671483 best solution, best possible 39.630303 (8588.82 seconds)
Cbc0010I After 46 nodes, 28 on tree, 52.671483 best solution, best possible 39.630303 (8665.92 seconds)
