Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/neos-3426132-dieze.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          neos-3426132-dieze
At line 2 ROWS
At line 574 COLUMNS
At line 23677 RHS
At line 23698 BOUNDS
At line 35249 ENDATA
Problem neos-3426132-dieze has 570 rows, 11550 columns and 22550 elements
Coin0008I neos-3426132-dieze read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 401.995 - 0.341042 seconds
Cgl0004I processed model has 570 rows, 11550 columns (11550 integer (2750 of which binary)) and 22550 elements
Coin3009W Conflict graph built in 0.009 seconds, density: 0.001%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0031I 979 added rows had average density of 15.916241
Cbc0013I At root node, 979 cuts changed objective from 401.9952 to 401.9952 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 3175 row cuts average 5.4 elements, 0 column cuts (253 active)  in 1.830 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 7538 row cuts average 34.1 elements, 0 column cuts (0 active)  in 6.404 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 506 row cuts average 4.7 elements, 0 column cuts (0 active)  in 0.431 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.002 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.003 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 461 row cuts average 12.5 elements, 0 column cuts (0 active)  in 0.383 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 786 row cuts average 3.0 elements, 0 column cuts (0 active)  in 0.378 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 5396 row cuts average 19.3 elements, 0 column cuts (0 active)  in 3.692 seconds - new frequency is -100
Cbc0014I Cut generator 8 (ZeroHalf) - 317 row cuts average 22.8 elements, 0 column cuts (0 active)  in 5.608 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 401.9952 (52.00 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 401.9952 (53.25 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 401.9952 (55.06 seconds)
Cbc0010I After 8 nodes, 9 on tree, 1e+50 best solution, best possible 401.9952 (56.49 seconds)
Cbc0010I After 9 nodes, 10 on tree, 1e+50 best solution, best possible 401.9952 (57.24 seconds)
Cbc0010I After 12 nodes, 13 on tree, 1e+50 best solution, best possible 401.9952 (58.39 seconds)
Cbc0010I After 15 nodes, 15 on tree, 1e+50 best solution, best possible 401.9952 (59.39 seconds)
Cbc0010I After 18 nodes, 17 on tree, 1e+50 best solution, best possible 401.9952 (60.72 seconds)
Cbc0010I After 21 nodes, 19 on tree, 1e+50 best solution, best possible 401.9952 (61.68 seconds)
Cbc0010I After 24 nodes, 21 on tree, 1e+50 best solution, best possible 401.9952 (62.66 seconds)
Cbc0010I After 27 nodes, 23 on tree, 1e+50 best solution, best possible 401.9952 (63.66 seconds)
Cbc0010I After 30 nodes, 25 on tree, 1e+50 best solution, best possible 401.9952 (64.98 seconds)
Cbc0010I After 33 nodes, 27 on tree, 1e+50 best solution, best possible 401.9952 (65.98 seconds)
Cbc0010I After 36 nodes, 29 on tree, 1e+50 best solution, best possible 401.9952 (67.00 seconds)
Cbc0010I After 39 nodes, 31 on tree, 1e+50 best solution, best possible 401.9952 (68.07 seconds)
Cbc0010I After 42 nodes, 33 on tree, 1e+50 best solution, best possible 401.9952 (69.19 seconds)
Cbc0010I After 45 nodes, 35 on tree, 1e+50 best solution, best possible 401.9952 (70.26 seconds)
Cbc0010I After 48 nodes, 37 on tree, 1e+50 best solution, best possible 401.9952 (71.39 seconds)
Cbc0010I After 51 nodes, 39 on tree, 1e+50 best solution, best possible 401.9952 (72.35 seconds)
Cbc0010I After 54 nodes, 41 on tree, 1e+50 best solution, best possible 401.9952 (73.37 seconds)
Cbc0010I After 57 nodes, 43 on tree, 1e+50 best solution, best possible 401.9952 (74.51 seconds)
Cbc0010I After 60 nodes, 45 on tree, 1e+50 best solution, best possible 401.9952 (75.61 seconds)
Cbc0010I After 63 nodes, 47 on tree, 1e+50 best solution, best possible 401.9952 (76.50 seconds)
Cbc0010I After 66 nodes, 49 on tree, 1e+50 best solution, best possible 401.9952 (77.42 seconds)
