Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/neos-3381206-awhea.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          neos-3381206-awhea
At line 2 ROWS
At line 483 COLUMNS
At line 5236 RHS
At line 5241 BOUNDS
At line 7617 ENDATA
Problem neos-3381206-awhea has 479 rows, 2375 columns and 4275 elements
Coin0008I neos-3381206-awhea read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 415.24 - 0.398037 seconds
Cgl0004I processed model has 479 rows, 2375 columns (2375 integer (475 of which binary)) and 4275 elements
Coin3009W Conflict graph built in 0.002 seconds, density: 0.004%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0031I 852 added rows had average density of 4.32277
Cbc0013I At root node, 852 cuts changed objective from 415.24 to 452.06428 in 77 passes
Cbc0014I Cut generator 0 (Probing) - 12522 row cuts average 4.4 elements, 0 column cuts (0 active)  in 1.418 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 23194 row cuts average 7.8 elements, 0 column cuts (0 active)  in 5.042 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.027 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.004 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.006 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 972 row cuts average 4.2 elements, 0 column cuts (0 active)  in 0.505 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 82 row cuts average 2.0 elements, 0 column cuts (0 active)  in 0.609 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 9447 row cuts average 4.7 elements, 0 column cuts (0 active)  in 2.762 seconds - new frequency is 1
Cbc0014I Cut generator 8 (ZeroHalf) - 1 row cuts average 5.0 elements, 0 column cuts (0 active)  in 0.128 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 452.06428 (24.59 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 452.06428 (25.54 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 452.06428 (26.32 seconds)
Cbc0010I After 15 nodes, 12 on tree, 1e+50 best solution, best possible 452.06428 (27.15 seconds)
Cbc0010I After 21 nodes, 16 on tree, 1e+50 best solution, best possible 452.06428 (27.86 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 452.06428 (28.62 seconds)
Cbc0010I After 35 nodes, 22 on tree, 1e+50 best solution, best possible 452.06428 (29.38 seconds)
Cbc0010I After 43 nodes, 26 on tree, 1e+50 best solution, best possible 452.06428 (30.10 seconds)
Cbc0010I After 53 nodes, 34 on tree, 1e+50 best solution, best possible 452.06428 (30.84 seconds)
Cbc0010I After 63 nodes, 40 on tree, 1e+50 best solution, best possible 452.06428 (31.55 seconds)
Cbc0010I After 73 nodes, 47 on tree, 1e+50 best solution, best possible 452.06428 (32.32 seconds)
Cbc0010I After 85 nodes, 54 on tree, 1e+50 best solution, best possible 452.06428 (33.04 seconds)
Cbc0010I After 95 nodes, 61 on tree, 1e+50 best solution, best possible 452.06428 (33.76 seconds)
Cbc0010I After 104 nodes, 66 on tree, 1e+50 best solution, best possible 452.06428 (34.53 seconds)
Cbc0010I After 115 nodes, 76 on tree, 1e+50 best solution, best possible 452.06428 (35.26 seconds)
Cbc0010I After 121 nodes, 79 on tree, 1e+50 best solution, best possible 452.06428 (35.99 seconds)
Cbc0010I After 132 nodes, 87 on tree, 1e+50 best solution, best possible 452.06428 (36.76 seconds)
Cbc0010I After 141 nodes, 92 on tree, 1e+50 best solution, best possible 452.06428 (37.49 seconds)
Cbc0010I After 151 nodes, 96 on tree, 1e+50 best solution, best possible 452.06428 (38.36 seconds)
Cbc0010I After 160 nodes, 102 on tree, 1e+50 best solution, best possible 452.06428 (39.08 seconds)
Cbc0010I After 169 nodes, 107 on tree, 1e+50 best solution, best possible 452.06428 (39.81 seconds)
Cbc0010I After 176 nodes, 109 on tree, 1e+50 best solution, best possible 452.06428 (40.53 seconds)
Cbc0010I After 181 nodes, 110 on tree, 1e+50 best solution, best possible 452.06428 (41.26 seconds)
Cbc0010I After 187 nodes, 110 on tree, 1e+50 best solution, best possible 452.06428 (42.06 seconds)
