Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/neos-2657525-crna.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          neos-2657525-crna
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2657525-crna has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2657525-crna read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.007514 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (121 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.056%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0031I 6 added rows had average density of 76.333333
Cbc0013I At root node, 6 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 2 row cuts average 15.0 elements, 0 column cuts (0 active)  in 0.140 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 58 row cuts average 275.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.027 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.004 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 13 row cuts average 16.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 81 row cuts average 86.6 elements, 0 column cuts (0 active)  in 0.069 seconds - new frequency is -100
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 0 (0.71 seconds)
Cbc0010I After 39 nodes, 25 on tree, 1e+50 best solution, best possible 0 (1.43 seconds)
Cbc0010I After 94 nodes, 39 on tree, 1e+50 best solution, best possible 0 (2.14 seconds)
Cbc0010I After 180 nodes, 52 on tree, 1e+50 best solution, best possible 0 (2.85 seconds)
Cbc0010I After 323 nodes, 63 on tree, 1e+50 best solution, best possible 0 (3.55 seconds)
Cbc0010I After 449 nodes, 76 on tree, 1e+50 best solution, best possible 0 (4.26 seconds)
Cbc0010I After 544 nodes, 88 on tree, 1e+50 best solution, best possible 0 (4.96 seconds)
Cbc0010I After 637 nodes, 82 on tree, 1e+50 best solution, best possible 0 (5.66 seconds)
Cbc0010I After 716 nodes, 96 on tree, 1e+50 best solution, best possible 0 (6.37 seconds)
Cbc0010I After 854 nodes, 112 on tree, 1e+50 best solution, best possible 0 (7.07 seconds)
Cbc0010I After 995 nodes, 129 on tree, 1e+50 best solution, best possible 0 (7.77 seconds)
Cbc0010I After 1180 nodes, 181 on tree, 1e+50 best solution, best possible 0 (8.47 seconds)
Cbc0010I After 1504 nodes, 175 on tree, 1e+50 best solution, best possible 0 (9.18 seconds)
Cbc0010I After 1748 nodes, 183 on tree, 1e+50 best solution, best possible 0 (9.88 seconds)
Cbc0010I After 1981 nodes, 168 on tree, 1e+50 best solution, best possible 0 (10.58 seconds)
Cbc0010I After 2238 nodes, 158 on tree, 1e+50 best solution, best possible 0 (11.28 seconds)
Cbc0010I After 2483 nodes, 166 on tree, 1e+50 best solution, best possible 0 (11.98 seconds)
Cbc0010I After 2736 nodes, 168 on tree, 1e+50 best solution, best possible 0 (12.69 seconds)
Cbc0010I After 2922 nodes, 162 on tree, 1e+50 best solution, best possible 0 (13.39 seconds)
Cbc0010I After 3242 nodes, 165 on tree, 1e+50 best solution, best possible 0 (14.09 seconds)
Cbc0010I After 3572 nodes, 161 on tree, 1e+50 best solution, best possible 0 (14.79 seconds)
Cbc0010I After 3857 nodes, 165 on tree, 1e+50 best solution, best possible 0 (15.49 seconds)
