Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/cod105.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          cod105
At line 2 ROWS
At line 1028 COLUMNS
At line 59399 RHS
At line 60424 BOUNDS
At line 61449 ENDATA
Problem cod105 has 1024 rows, 1024 columns and 57344 elements
Coin0008I cod105 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is -18.2857 - 16.1239 seconds
Cgl0004I processed model has 1024 rows, 1024 columns (1024 integer (1024 of which binary)) and 57344 elements
Coin3009W Conflict graph built in 0.172 seconds, density: 9.444%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 694 integers unsatisfied sum - 18.2857
Cbc0038I Solution found of -0
Cbc0038I Before mini branch and bound, 330 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 694 columns - too large
Cbc0038I Mini branch and bound did not improve solution (20.02 seconds)
Cbc0038I Round again with cutoff of -2.72848
Cbc0038I Pass   1: suminf.    0.27152 (1) obj. -2.72848 iterations 3023
Cbc0038I Solution found of -3
Cbc0038I Rounding solution of -9 is better than previous of -3
Cbc0038I Before mini branch and bound, 329 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 695 columns - 2 fixed gives 912, 257 - still too large
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 912 rows 257 columns - too large
Cbc0038I Mini branch and bound did not improve solution (41.53 seconds)
Cbc0038I Round again with cutoff of -11.6571
Cbc0038I Pass   2: suminf.   11.65706 (83) obj. -11.6571 iterations 270
Cbc0038I Pass   3: suminf.    8.02039 (165) obj. -11.6571 iterations 1094
Cbc0038I Pass   4: suminf.    2.44826 (188) obj. -11.6571 iterations 1522
Cbc0038I Solution found of -12
Cbc0038I Before mini branch and bound, 234 integers at bound fixed and 0 continuous
Cbc0038I Mini branch and bound did not improve solution (44.75 seconds)
Cbc0038I Round again with cutoff of -14.5856
Cbc0038I Pass   5: suminf.   14.58564 (166) obj. -14.5856 iterations 723
Cbc0038I Pass   6: suminf.   14.58564 (214) obj. -14.5856 iterations 1053
Cbc0038I Pass   7: suminf.   14.58565 (172) obj. -14.5856 iterations 1594
Cbc0038I Pass   8: suminf.   14.91891 (183) obj. -14.9189 iterations 1310
Cbc0038I Pass   9: suminf.   14.58564 (164) obj. -14.5856 iterations 1666
Cbc0038I Pass  10: suminf.   14.60790 (173) obj. -14.6079 iterations 1369
Cbc0038I Pass  11: suminf.   15.14544 (194) obj. -15.1454 iterations 1571
Cbc0038I Pass  12: suminf.   14.99747 (187) obj. -14.9975 iterations 1723
Cbc0038I Pass  13: suminf.   15.22992 (200) obj. -15.2299 iterations 1554
Cbc0038I Pass  14: suminf.   14.84902 (181) obj. -14.849 iterations 1644
Cbc0038I Pass  15: suminf.   14.80463 (180) obj. -14.8046 iterations 1777
Cbc0038I Pass  16: suminf.   14.97305 (182) obj. -14.973 iterations 1624
Cbc0038I Pass  17: suminf.   14.96192 (179) obj. -14.9619 iterations 1590
Cbc0038I Pass  18: suminf.   14.87465 (180) obj. -14.8747 iterations 1441
Cbc0038I No solution found this major pass
Cbc0038I After 68.97 seconds - Feasibility pump exiting with objective of -12 - took 50.03 seconds
Cbc0012I Integer solution of -12 found by feasibility pump after 0 iterations and 0 nodes (68.97 seconds)
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 698 columns - 12 fixed gives 0, 0 - ok now
Cbc0013I At root node, 0 cuts changed objective from -18.285714 to -18.285714 in 1 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.321 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 1.259 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.111 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.111 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.023 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, -12 best solution, best possible -18.285714 (532.44 seconds)
Cbc0010I After 51 nodes, 30 on tree, -12 best solution, best possible -18.285714 (1052.45 seconds)
Cbc0010I After 52 nodes, 31 on tree, -12 best solution, best possible -18.285714 (1053.70 seconds)
Cbc0010I After 53 nodes, 31 on tree, -12 best solution, best possible -18.285714 (1072.01 seconds)
Cbc0010I After 54 nodes, 32 on tree, -12 best solution, best possible -18.285714 (1078.53 seconds)
Cbc0010I After 55 nodes, 32 on tree, -12 best solution, best possible -18.285714 (1096.91 seconds)
Cbc0010I After 56 nodes, 33 on tree, -12 best solution, best possible -18.285714 (1104.96 seconds)
Cbc0010I After 57 nodes, 33 on tree, -12 best solution, best possible -18.285714 (1116.05 seconds)
Cbc0010I After 58 nodes, 33 on tree, -12 best solution, best possible -18.285714 (1126.87 seconds)
Cbc0010I After 59 nodes, 34 on tree, -12 best solution, best possible -18.285714 (1132.44 seconds)
Cbc0010I After 60 nodes, 35 on tree, -12 best solution, best possible -18.285714 (1136.46 seconds)
Cbc0010I After 61 nodes, 35 on tree, -12 best solution, best possible -18.285714 (1155.82 seconds)
Cbc0010I After 62 nodes, 36 on tree, -12 best solution, best possible -18.285714 (1161.52 seconds)
Cbc0010I After 63 nodes, 36 on tree, -12 best solution, best possible -18.285714 (1179.80 seconds)
Cbc0010I After 64 nodes, 37 on tree, -12 best solution, best possible -18.285714 (1183.93 seconds)
Cbc0010I After 65 nodes, 37 on tree, -12 best solution, best possible -18.285714 (1196.66 seconds)
Cbc0010I After 66 nodes, 37 on tree, -12 best solution, best possible -18.285714 (1209.47 seconds)
Cbc0010I After 67 nodes, 38 on tree, -12 best solution, best possible -18.285714 (1215.44 seconds)
Cbc0010I After 68 nodes, 39 on tree, -12 best solution, best possible -18.285714 (1221.23 seconds)
Cbc0010I After 69 nodes, 39 on tree, -12 best solution, best possible -18.285714 (1240.20 seconds)
Cbc0010I After 70 nodes, 40 on tree, -12 best solution, best possible -18.285714 (1245.93 seconds)
Cbc0010I After 71 nodes, 40 on tree, -12 best solution, best possible -18.285714 (1263.88 seconds)
Cbc0010I After 72 nodes, 41 on tree, -12 best solution, best possible -18.285714 (1269.55 seconds)
Cbc0010I After 73 nodes, 41 on tree, -12 best solution, best possible -18.285714 (1282.34 seconds)
Cbc0010I After 74 nodes, 42 on tree, -12 best solution, best possible -18.285714 (1287.68 seconds)
Cbc0010I After 75 nodes, 42 on tree, -12 best solution, best possible -18.285714 (1300.33 seconds)
Cbc0010I After 76 nodes, 43 on tree, -12 best solution, best possible -18.285714 (1306.30 seconds)
Cbc0010I After 77 nodes, 43 on tree, -12 best solution, best possible -18.285714 (1324.83 seconds)
Cbc0010I After 78 nodes, 44 on tree, -12 best solution, best possible -18.285714 (1331.26 seconds)
Cbc0010I After 79 nodes, 44 on tree, -12 best solution, best possible -18.285714 (1350.05 seconds)
Cbc0010I After 80 nodes, 45 on tree, -12 best solution, best possible -18.285714 (1355.16 seconds)
Cbc0010I After 81 nodes, 45 on tree, -12 best solution, best possible -18.285714 (1365.24 seconds)
Cbc0010I After 82 nodes, 46 on tree, -12 best solution, best possible -18.285714 (1369.50 seconds)
Cbc0010I After 83 nodes, 46 on tree, -12 best solution, best possible -18.285714 (1381.58 seconds)
Cbc0010I After 84 nodes, 47 on tree, -12 best solution, best possible -18.285714 (1386.63 seconds)
Cbc0010I After 85 nodes, 47 on tree, -12 best solution, best possible -18.285714 (1404.41 seconds)
Cbc0010I After 86 nodes, 48 on tree, -12 best solution, best possible -18.285714 (1408.82 seconds)
Cbc0010I After 87 nodes, 48 on tree, -12 best solution, best possible -18.285714 (1427.19 seconds)
Cbc0010I After 88 nodes, 49 on tree, -12 best solution, best possible -18.285714 (1431.35 seconds)
Cbc0010I After 89 nodes, 49 on tree, -12 best solution, best possible -18.285714 (1442.05 seconds)
Cbc0010I After 90 nodes, 50 on tree, -12 best solution, best possible -18.285714 (1447.18 seconds)
Cbc0010I After 91 nodes, 50 on tree, -12 best solution, best possible -18.285714 (1459.29 seconds)
Cbc0010I After 92 nodes, 51 on tree, -12 best solution, best possible -18.285714 (1462.24 seconds)
Cbc0010I After 93 nodes, 51 on tree, -12 best solution, best possible -18.285714 (1480.67 seconds)
Cbc0010I After 94 nodes, 52 on tree, -12 best solution, best possible -18.285714 (1483.55 seconds)
Cbc0010I After 95 nodes, 52 on tree, -12 best solution, best possible -18.285714 (1501.37 seconds)
Cbc0010I After 96 nodes, 53 on tree, -12 best solution, best possible -18.285714 (1503.97 seconds)
Cbc0010I After 97 nodes, 53 on tree, -12 best solution, best possible -18.285714 (1514.66 seconds)
Cbc0010I After 98 nodes, 54 on tree, -12 best solution, best possible -18.285714 (1518.49 seconds)
Cbc0010I After 99 nodes, 54 on tree, -12 best solution, best possible -18.285714 (1529.75 seconds)
Cbc0010I After 100 nodes, 55 on tree, -12 best solution, best possible -18.285714 (1533.97 seconds)
Cbc0010I After 101 nodes, 55 on tree, -12 best solution, best possible -18.285714 (1547.72 seconds)
Cbc0010I After 102 nodes, 56 on tree, -12 best solution, best possible -18.285714 (1549.30 seconds)
Cbc0010I After 103 nodes, 56 on tree, -12 best solution, best possible -18.285714 (1566.46 seconds)
Cbc0010I After 104 nodes, 57 on tree, -12 best solution, best possible -18.285714 (1570.00 seconds)
Cbc0010I After 105 nodes, 57 on tree, -12 best solution, best possible -18.285714 (1580.80 seconds)
Cbc0010I After 106 nodes, 58 on tree, -12 best solution, best possible -18.285714 (1585.13 seconds)
Cbc0010I After 107 nodes, 58 on tree, -12 best solution, best possible -18.285714 (1595.47 seconds)
Cbc0010I After 108 nodes, 59 on tree, -12 best solution, best possible -18.285714 (1598.85 seconds)
Cbc0010I After 109 nodes, 60 on tree, -12 best solution, best possible -18.285714 (1602.88 seconds)
Cbc0010I After 110 nodes, 60 on tree, -12 best solution, best possible -18.285714 (1607.61 seconds)
Cbc0010I After 113 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1609.80 seconds)
Cbc0010I After 117 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1610.89 seconds)
Cbc0010I After 118 nodes, 62 on tree, -12 best solution, best possible -18.285714 (1612.34 seconds)
Cbc0010I After 121 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1613.08 seconds)
Cbc0010I After 123 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1614.66 seconds)
Cbc0010I After 126 nodes, 60 on tree, -12 best solution, best possible -18.285714 (1615.50 seconds)
Cbc0010I After 127 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1616.21 seconds)
Cbc0010I After 130 nodes, 60 on tree, -12 best solution, best possible -18.285714 (1616.96 seconds)
Cbc0010I After 131 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1617.75 seconds)
Cbc0010I After 132 nodes, 62 on tree, -12 best solution, best possible -18.285714 (1618.54 seconds)
Cbc0010I After 136 nodes, 64 on tree, -12 best solution, best possible -18.285714 (1619.85 seconds)
Cbc0010I After 139 nodes, 63 on tree, -12 best solution, best possible -18.285714 (1620.60 seconds)
Cbc0010I After 140 nodes, 64 on tree, -12 best solution, best possible -18.285714 (1621.87 seconds)
Cbc0010I After 144 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1623.21 seconds)
Cbc0010I After 147 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1623.92 seconds)
Cbc0010I After 150 nodes, 62 on tree, -12 best solution, best possible -18.285714 (1624.82 seconds)
Cbc0010I After 152 nodes, 62 on tree, -12 best solution, best possible -18.285714 (1626.27 seconds)
Cbc0010I After 155 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1627.83 seconds)
Cbc0010I After 157 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1628.66 seconds)
Cbc0010I After 159 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1629.58 seconds)
Cbc0010I After 161 nodes, 61 on tree, -12 best solution, best possible -18.285714 (1633.13 seconds)
Cbc0010I After 163 nodes, 63 on tree, -12 best solution, best possible -18.285714 (1634.36 seconds)
Cbc0010I After 166 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1637.46 seconds)
Cbc0010I After 167 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1638.26 seconds)
Cbc0010I After 170 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1639.07 seconds)
Cbc0010I After 171 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1640.25 seconds)
Cbc0010I After 174 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1641.12 seconds)
Cbc0010I After 175 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1642.21 seconds)
Cbc0010I After 178 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1643.09 seconds)
Cbc0010I After 179 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1644.79 seconds)
Cbc0010I After 182 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1645.63 seconds)
Cbc0010I After 185 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1646.66 seconds)
Cbc0010I After 188 nodes, 65 on tree, -12 best solution, best possible -18.285714 (1647.47 seconds)
Cbc0010I After 189 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1648.51 seconds)
Cbc0010I After 191 nodes, 66 on tree, -12 best solution, best possible -18.285714 (1651.92 seconds)
Cbc0010I After 193 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1655.90 seconds)
Cbc0010I After 197 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1657.11 seconds)
Cbc0010I After 198 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1658.15 seconds)
Cbc0010I After 201 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1659.05 seconds)
Cbc0010I After 202 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1660.49 seconds)
Cbc0010I After 205 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1661.39 seconds)
Cbc0010I After 206 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1662.52 seconds)
Cbc0010I After 209 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1664.25 seconds)
Cbc0010I After 213 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1665.12 seconds)
Cbc0010I After 216 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1666.41 seconds)
Cbc0010I After 217 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1667.30 seconds)
Cbc0010I After 220 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1670.50 seconds)
Cbc0010I After 221 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1671.58 seconds)
Cbc0010I After 223 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1672.86 seconds)
Cbc0010I After 225 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1674.65 seconds)
Cbc0010I After 230 nodes, 71 on tree, -12 best solution, best possible -18.285714 (1676.27 seconds)
Cbc0010I After 233 nodes, 70 on tree, -12 best solution, best possible -18.285714 (1678.13 seconds)
Cbc0010I After 236 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1678.99 seconds)
Cbc0010I After 238 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1679.75 seconds)
Cbc0010I After 239 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1680.51 seconds)
Cbc0010I After 240 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1682.02 seconds)
Cbc0010I After 244 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1682.79 seconds)
Cbc0010I After 246 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1683.50 seconds)
Cbc0010I After 247 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1684.33 seconds)
Cbc0010I After 248 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1685.48 seconds)
Cbc0010I After 251 nodes, 67 on tree, -12 best solution, best possible -18.285714 (1689.48 seconds)
Cbc0010I After 252 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1690.87 seconds)
Cbc0010I After 254 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1692.58 seconds)
Cbc0010I After 258 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1693.60 seconds)
Cbc0010I After 259 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1694.45 seconds)
Cbc0010I After 262 nodes, 70 on tree, -12 best solution, best possible -18.285714 (1695.71 seconds)
Cbc0010I After 265 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1696.56 seconds)
Cbc0010I After 268 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1698.38 seconds)
Cbc0010I After 270 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1699.62 seconds)
Cbc0010I After 272 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1700.77 seconds)
Cbc0010I After 274 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1701.98 seconds)
Cbc0010I After 278 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1702.76 seconds)
Cbc0010I After 279 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1703.66 seconds)
Cbc0010I After 281 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1704.66 seconds)
Cbc0010I After 284 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1705.39 seconds)
Cbc0010I After 285 nodes, 69 on tree, -12 best solution, best possible -18.285714 (1706.33 seconds)
Cbc0010I After 288 nodes, 68 on tree, -12 best solution, best possible -18.285714 (1707.05 seconds)
