Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Mar 30 2022
command line - -import /home/danilo/cbc-test-set/neos-5195221-niemur.mps.gz -timeM elapsed -seconds 10800 -knapsack off -solve -solu sol-group-root/neos-5195221-niemur.txt -quit (default strategy 1)
At line 1 NAME          neos-5195221-niemur
At line 2 ROWS
At line 42260 COLUMNS
At line 218851 RHS
At line 241578 BOUNDS
At line 251371 ENDATA
Problem neos-5195221-niemur has 42256 rows, 14546 columns and 176586 elements
Coin0008I neos-5195221-niemur read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 1.59147 seconds
Cgl0003I 1190 fixed, 0 tightened bounds, 10104 strengthened rows, 1794 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 3149 strengthened rows, 12 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 2452 strengthened rows, 658 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 283 strengthened rows, 122 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 51 strengthened rows, 2 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 33 strengthened rows, 0 substitutions
Cgl0004I processed model has 26019 rows, 8985 columns (4959 integer (4959 of which binary)) and 137492 elements
Coin3009W Conflict graph built in 0.022 seconds, density: 0.011%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 779 integers unsatisfied sum - 317.18
Cbc0038I Pass   1: (13.56 seconds) suminf.  135.00000 (589) obj. 0.015883 iterations 1739
Cbc0038I Pass   2: (16.90 seconds) suminf.   72.62500 (1090) obj. 0.0444033 iterations 1280
Cbc0038I Pass   3: (17.81 seconds) suminf.   71.00000 (947) obj. 0.0429651 iterations 254
Cbc0038I Pass   4: (18.35 seconds) suminf.   71.20930 (1214) obj. 0.0485435 iterations 131
Cbc0038I Pass   5: (19.44 seconds) suminf.   78.16667 (973) obj. 0.0434026 iterations 490
Cbc0038I Pass   6: (20.58 seconds) suminf.   73.08333 (949) obj. 0.0434026 iterations 456
Cbc0038I Pass   7: (20.71 seconds) suminf.   72.30556 (948) obj. 0.0434026 iterations 15
Cbc0038I Pass   8: (21.20 seconds) suminf.   71.00000 (947) obj. 0.0434026 iterations 123
Cbc0038I Pass   9: (21.75 seconds) suminf.   71.00000 (947) obj. 0.0434026 iterations 131
Cbc0038I Pass  10: (22.28 seconds) suminf.   71.80000 (1015) obj. 0.0468293 iterations 134
Cbc0038I Pass  11: (23.33 seconds) suminf.   78.80556 (972) obj. 0.0584826 iterations 520
Cbc0038I Pass  12: (24.48 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 462
Cbc0038I Pass  13: (24.57 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 2
Cbc0038I Pass  14: (24.97 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 121
Cbc0038I Pass  15: (25.84 seconds) suminf.   79.02778 (974) obj. 0.0584826 iterations 434
Cbc0038I Pass  16: (27.09 seconds) suminf.   74.42105 (998) obj. 0.0596588 iterations 433
Cbc0038I Pass  17: (27.27 seconds) suminf.   72.67213 (1220) obj. 0.0600245 iterations 34
Cbc0038I Pass  18: (27.62 seconds) suminf.   71.09524 (1215) obj. 0.06019 iterations 81
Cbc0038I Pass  19: (28.01 seconds) suminf.   70.94737 (992) obj. 0.0596588 iterations 88
Cbc0038I Pass  20: (28.51 seconds) suminf.   70.94737 (992) obj. 0.0596588 iterations 119
Cbc0038I Pass  21: (29.45 seconds) suminf.   80.52778 (988) obj. 0.0611822 iterations 427
Cbc0038I Pass  22: (30.70 seconds) suminf.   70.94737 (992) obj. 0.0637212 iterations 460
Cbc0038I Pass  23: (30.81 seconds) suminf.   70.94737 (992) obj. 0.0637212 iterations 9
Cbc0038I Pass  24: (33.02 seconds) suminf.   86.50000 (173) obj. 0.0841469 iterations 604
Cbc0038I Pass  25: (34.04 seconds) suminf.   91.00000 (185) obj. 0.0897683 iterations 368
Cbc0038I Pass  26: (34.89 seconds) suminf.   85.50000 (171) obj. 0.0897683 iterations 330
Cbc0038I Pass  27: (35.37 seconds) suminf.   85.50000 (171) obj. 0.0897683 iterations 149
Cbc0038I Pass  28: (35.75 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 136
Cbc0038I Pass  29: (36.09 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 132
Cbc0038I Pass  30: (36.58 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 138
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 3239 integers at bound fixed and 3662 continuous
Cbc0038I Mini branch and bound did not improve solution (36.68 seconds)
Cbc0038I After 36.69 seconds - Feasibility pump exiting - took 26.03 seconds
Cbc0031I 246 added rows had average density of 6.0731707
Cbc0013I At root node, 246 cuts changed objective from 0 to -4.7918385e-15 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 459 row cuts average 2.1 elements, 5 column cuts (5 active)  in 3.014 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 789 row cuts average 102.5 elements, 0 column cuts (0 active)  in 16.956 seconds - new frequency is 1
Cbc0014I Cut generator 2 (liftKnapsack) - 5 row cuts average 3.6 elements, 0 column cuts (0 active)  in 12.318 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.800 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 495 row cuts average 6.3 elements, 0 column cuts (0 active)  in 7.509 seconds - new frequency is 1
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 6588 row cuts average 3.8 elements, 0 column cuts (0 active)  in 1.434 seconds - new frequency is 1
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.244 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 5474 row cuts average 41.4 elements, 0 column cuts (0 active)  in 13.397 seconds - new frequency is -100
Cbc0014I Cut generator 8 (ZeroHalf) - 459 row cuts average 3.0 elements, 0 column cuts (0 active)  in 13.127 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 0 (264.03 seconds)
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 0 (293.55 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 0 (321.03 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 0 (353.41 seconds)
Cbc0010I After 4 nodes, 5 on tree, 1e+50 best solution, best possible 0 (379.04 seconds)
Cbc0010I After 5 nodes, 6 on tree, 1e+50 best solution, best possible 0 (399.26 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 0 (414.33 seconds)
Cbc0010I After 7 nodes, 8 on tree, 1e+50 best solution, best possible 0 (418.37 seconds)
Cbc0010I After 8 nodes, 9 on tree, 1e+50 best solution, best possible 0 (424.10 seconds)
Cbc0010I After 9 nodes, 10 on tree, 1e+50 best solution, best possible 0 (435.40 seconds)
Cbc0010I After 10 nodes, 11 on tree, 1e+50 best solution, best possible 0 (439.28 seconds)
Cbc0010I After 11 nodes, 12 on tree, 1e+50 best solution, best possible 0 (453.39 seconds)
Cbc0010I After 12 nodes, 12 on tree, 1e+50 best solution, best possible 0 (474.39 seconds)
Cbc0010I After 13 nodes, 12 on tree, 1e+50 best solution, best possible 0 (483.95 seconds)
Cbc0010I After 14 nodes, 13 on tree, 1e+50 best solution, best possible 0 (499.64 seconds)
Cbc0010I After 15 nodes, 13 on tree, 1e+50 best solution, best possible 0 (526.32 seconds)
Cbc0010I After 16 nodes, 13 on tree, 1e+50 best solution, best possible 0 (536.45 seconds)
Cbc0010I After 17 nodes, 13 on tree, 1e+50 best solution, best possible 0 (545.43 seconds)
Cbc0010I After 18 nodes, 13 on tree, 1e+50 best solution, best possible 0 (561.33 seconds)
Cbc0010I After 19 nodes, 14 on tree, 1e+50 best solution, best possible 0 (565.75 seconds)
Cbc0010I After 20 nodes, 15 on tree, 1e+50 best solution, best possible 0 (569.74 seconds)
Cbc0010I After 21 nodes, 16 on tree, 1e+50 best solution, best possible 0 (579.81 seconds)
Cbc0010I After 22 nodes, 17 on tree, 1e+50 best solution, best possible 0 (582.98 seconds)
Cbc0010I After 23 nodes, 18 on tree, 1e+50 best solution, best possible 0 (597.15 seconds)
Cbc0010I After 25 nodes, 17 on tree, 1e+50 best solution, best possible 0 (601.05 seconds)
Cbc0010I After 26 nodes, 18 on tree, 1e+50 best solution, best possible 0 (638.52 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 0 (664.93 seconds)
Cbc0010I After 28 nodes, 18 on tree, 1e+50 best solution, best possible 0 (672.84 seconds)
Cbc0010I After 29 nodes, 19 on tree, 1e+50 best solution, best possible 0 (677.53 seconds)
Cbc0010I After 30 nodes, 20 on tree, 1e+50 best solution, best possible 0 (692.96 seconds)
Cbc0010I After 31 nodes, 21 on tree, 1e+50 best solution, best possible 0 (696.83 seconds)
Cbc0010I After 32 nodes, 22 on tree, 1e+50 best solution, best possible 0 (700.74 seconds)
Cbc0010I After 33 nodes, 23 on tree, 1e+50 best solution, best possible 0 (712.18 seconds)
Cbc0010I After 34 nodes, 23 on tree, 1e+50 best solution, best possible 0 (716.62 seconds)
Cbc0010I After 35 nodes, 23 on tree, 1e+50 best solution, best possible 0 (725.67 seconds)
Cbc0010I After 36 nodes, 24 on tree, 1e+50 best solution, best possible 0 (731.47 seconds)
Cbc0010I After 37 nodes, 24 on tree, 1e+50 best solution, best possible 0 (741.25 seconds)
Cbc0010I After 38 nodes, 24 on tree, 1e+50 best solution, best possible 0 (749.86 seconds)
Cbc0010I After 39 nodes, 25 on tree, 1e+50 best solution, best possible 0 (759.86 seconds)
Cbc0010I After 40 nodes, 26 on tree, 1e+50 best solution, best possible 0 (766.34 seconds)
Cbc0010I After 41 nodes, 27 on tree, 1e+50 best solution, best possible 0 (774.48 seconds)
Cbc0010I After 42 nodes, 27 on tree, 1e+50 best solution, best possible 0 (786.70 seconds)
Cbc0010I After 43 nodes, 27 on tree, 1e+50 best solution, best possible 0 (795.19 seconds)
Cbc0010I After 44 nodes, 28 on tree, 1e+50 best solution, best possible 0 (807.79 seconds)
Cbc0010I After 45 nodes, 29 on tree, 1e+50 best solution, best possible 0 (820.26 seconds)
Cbc0010I After 46 nodes, 29 on tree, 1e+50 best solution, best possible 0 (828.09 seconds)
Cbc0010I After 47 nodes, 30 on tree, 1e+50 best solution, best possible 0 (832.60 seconds)
Cbc0010I After 48 nodes, 31 on tree, 1e+50 best solution, best possible 0 (859.83 seconds)
Cbc0010I After 49 nodes, 31 on tree, 1e+50 best solution, best possible 0 (864.87 seconds)
Cbc0010I After 50 nodes, 32 on tree, 1e+50 best solution, best possible 0 (867.79 seconds)
Cbc0010I After 51 nodes, 33 on tree, 1e+50 best solution, best possible 0 (881.30 seconds)
Cbc0010I After 52 nodes, 32 on tree, 1e+50 best solution, best possible 0 (893.18 seconds)
Cbc0010I After 53 nodes, 31 on tree, 1e+50 best solution, best possible 0 (895.39 seconds)
Cbc0010I After 54 nodes, 32 on tree, 1e+50 best solution, best possible 0 (908.16 seconds)
Cbc0010I After 55 nodes, 32 on tree, 1e+50 best solution, best possible 0 (915.87 seconds)
Cbc0010I After 56 nodes, 32 on tree, 1e+50 best solution, best possible 0 (923.42 seconds)
Cbc0010I After 57 nodes, 33 on tree, 1e+50 best solution, best possible 0 (938.80 seconds)
Cbc0010I After 58 nodes, 33 on tree, 1e+50 best solution, best possible 0 (945.89 seconds)
Cbc0010I After 59 nodes, 34 on tree, 1e+50 best solution, best possible 0 (949.48 seconds)
Cbc0010I After 60 nodes, 35 on tree, 1e+50 best solution, best possible 0 (970.79 seconds)
Cbc0010I After 61 nodes, 35 on tree, 1e+50 best solution, best possible 0 (1004.46 seconds)
Cbc0010I After 62 nodes, 35 on tree, 1e+50 best solution, best possible 0 (1010.71 seconds)
Cbc0010I After 63 nodes, 36 on tree, 1e+50 best solution, best possible 0 (1031.52 seconds)
Cbc0010I After 64 nodes, 36 on tree, 1e+50 best solution, best possible 0 (1049.90 seconds)
Cbc0010I After 65 nodes, 37 on tree, 1e+50 best solution, best possible 0 (1056.85 seconds)
Cbc0010I After 66 nodes, 37 on tree, 1e+50 best solution, best possible 0 (1073.36 seconds)
