Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/methanosarcina.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/methanosarcina.txt -quit (default strategy 1)
At line 1 NAME           methanosarcina
At line 2 ROWS
At line 14608 COLUMNS
At line 65725 RHS
At line 75818 BOUNDS
At line 83749 ENDATA
Problem methanosarcina has 14604 rows, 7930 columns and 43812 elements
Coin0008I methanosarcina read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 9.41004 seconds
Cgl0004I processed model has 14604 rows, 7930 columns (7930 integer (7930 of which binary)) and 43812 elements
Coin3009W Conflict graph built in 0.012 seconds, density: 0.006%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 626 integers unsatisfied sum - 313
Cbc0038I Pass   1: (10.85 seconds) suminf.  310.50000 (621) obj. 6.5 iterations 502
Cbc0038I Pass   2: (10.98 seconds) suminf.  304.00000 (608) obj. 13 iterations 39
Cbc0038I Pass   3: (11.09 seconds) suminf.  304.00000 (608) obj. 13 iterations 10
Cbc0038I Pass   4: (11.22 seconds) suminf.  304.00000 (608) obj. 13 iterations 48
Cbc0038I Pass   5: (11.95 seconds) suminf.  304.00000 (608) obj. 13 iterations 734
Cbc0038I Pass   6: (12.34 seconds) suminf.  304.00000 (608) obj. 13 iterations 434
Cbc0038I Pass   7: (12.63 seconds) suminf.  304.00000 (608) obj. 13 iterations 350
Cbc0038I Pass   8: (12.94 seconds) suminf.  304.00000 (608) obj. 13 iterations 358
Cbc0038I Pass   9: (13.31 seconds) suminf.  304.00000 (608) obj. 13 iterations 369
Cbc0038I Pass  10: (13.69 seconds) suminf.  304.00000 (608) obj. 13 iterations 422
Cbc0038I Pass  11: (13.95 seconds) suminf.  304.00000 (608) obj. 13 iterations 377
Cbc0038I Pass  12: (14.29 seconds) suminf.  304.00000 (608) obj. 13 iterations 381
Cbc0038I Pass  13: (14.65 seconds) suminf.  304.00000 (608) obj. 13 iterations 395
Cbc0038I Pass  14: (15.02 seconds) suminf.  304.00000 (608) obj. 13 iterations 422
Cbc0038I Pass  15: (15.36 seconds) suminf.  304.00000 (608) obj. 13 iterations 381
Cbc0038I Pass  16: (15.90 seconds) suminf.  304.00000 (608) obj. 13 iterations 439
Cbc0038I Pass  17: (16.24 seconds) suminf.  304.00000 (608) obj. 13 iterations 406
Cbc0038I Pass  18: (16.85 seconds) suminf.  304.00000 (608) obj. 13 iterations 480
Cbc0038I Pass  19: (17.18 seconds) suminf.  304.00000 (608) obj. 13 iterations 387
Cbc0038I Pass  20: (17.41 seconds) suminf.  304.00000 (608) obj. 13 iterations 357
Cbc0038I Pass  21: (17.72 seconds) suminf.  304.00000 (608) obj. 13 iterations 435
Cbc0038I Pass  22: (18.06 seconds) suminf.  304.00000 (608) obj. 13 iterations 385
Cbc0038I Pass  23: (18.32 seconds) suminf.  304.00000 (608) obj. 13 iterations 379
Cbc0038I Pass  24: (18.74 seconds) suminf.  304.00000 (608) obj. 13 iterations 403
Cbc0038I Pass  25: (19.13 seconds) suminf.  304.00000 (608) obj. 13 iterations 409
Cbc0038I Pass  26: (19.50 seconds) suminf.  304.00000 (608) obj. 13 iterations 400
Cbc0038I Pass  27: (19.94 seconds) suminf.  304.00000 (608) obj. 13 iterations 445
Cbc0038I Pass  28: (20.46 seconds) suminf.  304.00000 (608) obj. 13 iterations 471
Cbc0038I Pass  29: (20.92 seconds) suminf.  304.00000 (608) obj. 13 iterations 445
Cbc0038I Pass  30: (21.25 seconds) suminf.  304.00000 (608) obj. 13 iterations 403
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 7291 integers at bound fixed and 0 continuous
Cbc0038I Mini branch and bound did not improve solution (21.50 seconds)
Cbc0038I After 21.50 seconds - Feasibility pump exiting - took 11.18 seconds
Cbc0031I 518 added rows had average density of 11.353282
Cbc0013I At root node, 518 cuts changed objective from 0 to 205.19695 in 50 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 1.451 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 33027 row cuts average 45.1 elements, 0 column cuts (0 active)  in 13.237 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 2 row cuts average 3.0 elements, 0 column cuts (0 active)  in 2.857 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 5 row cuts average 7.6 elements, 0 column cuts (0 active)  in 84.524 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.007 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.011 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 3 row cuts average 25.7 elements, 0 column cuts (0 active)  in 2.990 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.169 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 3736 row cuts average 12.7 elements, 0 column cuts (0 active)  in 4.437 seconds - new frequency is 1
Cbc0014I Cut generator 9 (ZeroHalf) - 3774 row cuts average 12.6 elements, 0 column cuts (0 active)  in 79.832 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 205.19695 (283.14 seconds)
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 205.19695 (330.56 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 205.19695 (360.95 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 205.19695 (395.64 seconds)
Cbc0010I After 4 nodes, 5 on tree, 1e+50 best solution, best possible 205.19695 (439.20 seconds)
Cbc0010I After 5 nodes, 6 on tree, 1e+50 best solution, best possible 205.19695 (472.52 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 205.19695 (509.46 seconds)
Cbc0010I After 7 nodes, 8 on tree, 1e+50 best solution, best possible 205.19695 (543.23 seconds)
Cbc0010I After 8 nodes, 8 on tree, 1e+50 best solution, best possible 205.19695 (566.85 seconds)
Cbc0010I After 9 nodes, 9 on tree, 1e+50 best solution, best possible 205.19695 (586.78 seconds)
Cbc0010I After 10 nodes, 9 on tree, 1e+50 best solution, best possible 205.19695 (603.58 seconds)
Cbc0010I After 11 nodes, 10 on tree, 1e+50 best solution, best possible 205.19695 (616.24 seconds)
Cbc0010I After 12 nodes, 11 on tree, 1e+50 best solution, best possible 205.19695 (630.55 seconds)
Cbc0010I After 13 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (645.25 seconds)
Cbc0010I After 14 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (659.43 seconds)
Cbc0010I After 15 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (677.43 seconds)
Cbc0010I After 16 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (694.02 seconds)
Cbc0010I After 17 nodes, 13 on tree, 1e+50 best solution, best possible 205.19695 (710.42 seconds)
Cbc0010I After 18 nodes, 13 on tree, 1e+50 best solution, best possible 205.19695 (729.27 seconds)
Cbc0010I After 19 nodes, 14 on tree, 1e+50 best solution, best possible 205.19695 (748.94 seconds)
Cbc0010I After 20 nodes, 14 on tree, 1e+50 best solution, best possible 205.19695 (762.47 seconds)
Cbc0010I After 21 nodes, 15 on tree, 1e+50 best solution, best possible 205.19695 (781.97 seconds)
Cbc0010I After 22 nodes, 15 on tree, 1e+50 best solution, best possible 205.19695 (800.86 seconds)
Cbc0010I After 23 nodes, 16 on tree, 1e+50 best solution, best possible 205.19695 (816.75 seconds)
Cbc0010I After 24 nodes, 16 on tree, 1e+50 best solution, best possible 205.19695 (835.11 seconds)
Cbc0010I After 25 nodes, 17 on tree, 1e+50 best solution, best possible 205.19695 (854.85 seconds)
Cbc0010I After 26 nodes, 17 on tree, 1e+50 best solution, best possible 205.19695 (868.61 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 205.19695 (892.22 seconds)
Cbc0010I After 28 nodes, 18 on tree, 1e+50 best solution, best possible 205.19695 (918.19 seconds)
Cbc0010I After 29 nodes, 19 on tree, 1e+50 best solution, best possible 205.19695 (934.37 seconds)
Cbc0010I After 30 nodes, 19 on tree, 1e+50 best solution, best possible 205.19695 (951.88 seconds)
Cbc0010I After 31 nodes, 20 on tree, 1e+50 best solution, best possible 205.19695 (967.91 seconds)
Cbc0010I After 32 nodes, 20 on tree, 1e+50 best solution, best possible 205.19695 (985.04 seconds)
Cbc0010I After 33 nodes, 21 on tree, 1e+50 best solution, best possible 205.19695 (1003.60 seconds)
Cbc0010I After 34 nodes, 21 on tree, 1e+50 best solution, best possible 205.19695 (1022.54 seconds)
Cbc0010I After 35 nodes, 22 on tree, 1e+50 best solution, best possible 205.19695 (1039.97 seconds)
Cbc0010I After 36 nodes, 22 on tree, 1e+50 best solution, best possible 205.19695 (1060.99 seconds)
Cbc0010I After 37 nodes, 23 on tree, 1e+50 best solution, best possible 205.19695 (1079.16 seconds)
Cbc0010I After 38 nodes, 23 on tree, 1e+50 best solution, best possible 205.19695 (1098.58 seconds)
Cbc0010I After 39 nodes, 24 on tree, 1e+50 best solution, best possible 205.19695 (1114.94 seconds)
Cbc0010I After 40 nodes, 24 on tree, 1e+50 best solution, best possible 205.19695 (1130.65 seconds)
Cbc0010I After 41 nodes, 25 on tree, 1e+50 best solution, best possible 205.19695 (1147.69 seconds)
Cbc0010I After 42 nodes, 25 on tree, 1e+50 best solution, best possible 205.19695 (1172.32 seconds)
Cbc0010I After 43 nodes, 26 on tree, 1e+50 best solution, best possible 205.19695 (1190.43 seconds)
Cbc0010I After 44 nodes, 26 on tree, 1e+50 best solution, best possible 205.19695 (1206.58 seconds)
Cbc0010I After 45 nodes, 27 on tree, 1e+50 best solution, best possible 205.19695 (1230.06 seconds)
Cbc0010I After 46 nodes, 27 on tree, 1e+50 best solution, best possible 205.19695 (1250.36 seconds)
Cbc0010I After 47 nodes, 28 on tree, 1e+50 best solution, best possible 205.19695 (1267.46 seconds)
Cbc0010I After 48 nodes, 28 on tree, 1e+50 best solution, best possible 205.19695 (1282.91 seconds)
Cbc0010I After 49 nodes, 29 on tree, 1e+50 best solution, best possible 205.19695 (1296.37 seconds)
Cbc0010I After 50 nodes, 29 on tree, 1e+50 best solution, best possible 205.19695 (1313.70 seconds)
Cbc0010I After 51 nodes, 30 on tree, 1e+50 best solution, best possible 205.19695 (1323.47 seconds)
Cbc0010I After 52 nodes, 30 on tree, 1e+50 best solution, best possible 205.19695 (1332.84 seconds)
Cbc0010I After 53 nodes, 31 on tree, 1e+50 best solution, best possible 205.19695 (1339.80 seconds)
Cbc0010I After 54 nodes, 31 on tree, 1e+50 best solution, best possible 205.19695 (1350.00 seconds)
