Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 35 nodes, 20 on tree, 18.787275 best solution, best possible 0 (5.51 seconds)
Cbc0010I After 78 nodes, 31 on tree, 18.787275 best solution, best possible 0 (6.24 seconds)
Cbc0010I After 128 nodes, 46 on tree, 18.787275 best solution, best possible 0 (6.96 seconds)
Cbc0010I After 183 nodes, 58 on tree, 18.787275 best solution, best possible 0 (7.67 seconds)
Cbc0010I After 262 nodes, 75 on tree, 18.787275 best solution, best possible 0 (8.39 seconds)
Cbc0010I After 337 nodes, 92 on tree, 18.787275 best solution, best possible 0 (9.09 seconds)
Cbc0010I After 416 nodes, 113 on tree, 18.787275 best solution, best possible 0 (9.79 seconds)
Cbc0010I After 501 nodes, 116 on tree, 18.787275 best solution, best possible 0 (10.49 seconds)
Cbc0010I After 636 nodes, 139 on tree, 18.787275 best solution, best possible 0 (11.20 seconds)
Cbc0010I After 759 nodes, 161 on tree, 18.787275 best solution, best possible 0 (11.91 seconds)
Cbc0010I After 873 nodes, 179 on tree, 18.787275 best solution, best possible 0 (12.62 seconds)
Cbc0010I After 1064 nodes, 190 on tree, 18.787275 best solution, best possible 0 (13.32 seconds)
Cbc0010I After 1212 nodes, 170 on tree, 18.787275 best solution, best possible 0 (14.04 seconds)
Cbc0010I After 1330 nodes, 148 on tree, 18.787275 best solution, best possible 0 (14.74 seconds)
Cbc0010I After 1461 nodes, 130 on tree, 18.787275 best solution, best possible 0 (15.45 seconds)
Cbc0010I After 1632 nodes, 131 on tree, 18.787275 best solution, best possible 0 (16.15 seconds)
Cbc0010I After 1787 nodes, 127 on tree, 18.787275 best solution, best possible 0 (16.87 seconds)
Cbc0010I After 1950 nodes, 141 on tree, 18.787275 best solution, best possible 0 (17.57 seconds)
Cbc0010I After 2388 nodes, 136 on tree, 18.787275 best solution, best possible 0 (18.27 seconds)
Cbc0010I After 2814 nodes, 135 on tree, 18.787275 best solution, best possible 0 (18.97 seconds)
Cbc0010I After 3188 nodes, 142 on tree, 18.787275 best solution, best possible 0 (19.67 seconds)
Cbc0010I After 3826 nodes, 138 on tree, 18.787275 best solution, best possible 0 (20.37 seconds)
Cbc0010I After 4298 nodes, 142 on tree, 18.787275 best solution, best possible 0 (21.08 seconds)
Cbc0010I After 4680 nodes, 140 on tree, 18.787275 best solution, best possible 0 (21.78 seconds)
Cbc0010I After 5023 nodes, 138 on tree, 18.787275 best solution, best possible 0 (22.48 seconds)
Cbc0010I After 5438 nodes, 141 on tree, 18.787275 best solution, best possible 0 (23.18 seconds)
Cbc0010I After 5819 nodes, 140 on tree, 18.787275 best solution, best possible 0 (23.88 seconds)
Cbc0010I After 6160 nodes, 140 on tree, 18.787275 best solution, best possible 0 (24.58 seconds)
Cbc0010I After 6517 nodes, 148 on tree, 18.787275 best solution, best possible 0 (25.28 seconds)
Cbc0010I After 6889 nodes, 144 on tree, 18.787275 best solution, best possible 0 (25.98 seconds)
Cbc0010I After 7280 nodes, 147 on tree, 18.787275 best solution, best possible 0 (26.68 seconds)
Cbc0010I After 7675 nodes, 144 on tree, 18.787275 best solution, best possible 0 (27.38 seconds)
Cbc0010I After 7963 nodes, 141 on tree, 18.787275 best solution, best possible 0 (28.08 seconds)
Cbc0010I After 8374 nodes, 143 on tree, 18.787275 best solution, best possible 0 (28.79 seconds)
Cbc0010I After 8770 nodes, 141 on tree, 18.787275 best solution, best possible 0 (29.49 seconds)
Cbc0010I After 9077 nodes, 137 on tree, 18.787275 best solution, best possible 0 (30.19 seconds)
Cbc0010I After 9472 nodes, 148 on tree, 18.787275 best solution, best possible 0 (30.89 seconds)
Cbc0010I After 9904 nodes, 143 on tree, 18.787275 best solution, best possible 0 (31.59 seconds)
Cbc0010I After 10253 nodes, 139 on tree, 18.787275 best solution, best possible 0 (32.29 seconds)
