Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Mar 30 2022
command line - -import /home/danilo/cbc-test-set/neos-4300652-rahue.mps.gz -timeM elapsed -seconds 10800 -knapsack off -solve -solu sol-group-root/neos-4300652-rahue.txt -quit (default strategy 1)
At line 1 NAME          neos-4300652-rahue
At line 2 ROWS
At line 76996 COLUMNS
At line 270989 RHS
At line 293871 BOUNDS
At line 314772 ENDATA
Problem neos-4300652-rahue has 76992 rows, 33003 columns and 183616 elements
Coin0008I neos-4300652-rahue read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 2.49758 seconds
Cgl0003I 0 fixed, 0 tightened bounds, 10374 strengthened rows, 0 substitutions
Cgl0004I processed model has 71729 rows, 27759 columns (20843 integer (20843 of which binary)) and 183407 elements
Coin3009W Conflict graph built in 0.028 seconds, density: 0.003%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 93 integers unsatisfied sum - 31
Cbc0038I Pass   1: (23.69 seconds) suminf.   20.00000 (40) obj. 0 iterations 4966
Cbc0038I Pass   2: (26.87 seconds) suminf.   20.00000 (40) obj. 0 iterations 403
Cbc0038I Pass   3: (28.39 seconds) suminf.   20.00000 (40) obj. 0 iterations 227
Cbc0038I Pass   4: (30.08 seconds) suminf.   20.00000 (40) obj. 0 iterations 225
Cbc0038I Pass   5: (31.80 seconds) suminf.   20.00000 (40) obj. 0 iterations 253
Cbc0038I Pass   6: (33.45 seconds) suminf.   20.00000 (40) obj. 0 iterations 229
Cbc0038I Pass   7: (35.39 seconds) suminf.   20.00000 (40) obj. 0 iterations 267
Cbc0038I Pass   8: (37.81 seconds) suminf.   20.00000 (40) obj. 0 iterations 331
Cbc0038I Pass   9: (41.49 seconds) suminf.   20.00000 (40) obj. 0 iterations 509
Cbc0038I Pass  10: (45.10 seconds) suminf.   20.00000 (40) obj. 0 iterations 579
Cbc0038I Pass  11: (49.49 seconds) suminf.   20.00000 (40) obj. 0 iterations 672
Cbc0038I Pass  12: (53.89 seconds) suminf.   20.00000 (40) obj. 0 iterations 739
Cbc0038I Pass  13: (55.92 seconds) suminf.   20.00000 (40) obj. 0 iterations 322
Cbc0038I Pass  14: (59.27 seconds) suminf.   20.00000 (40) obj. 0 iterations 461
Cbc0038I Pass  15: (63.30 seconds) suminf.   20.00000 (40) obj. 0 iterations 623
Cbc0038I Pass  16: (67.08 seconds) suminf.   20.00000 (40) obj. 0 iterations 546
Cbc0038I Pass  17: (70.75 seconds) suminf.   20.00000 (40) obj. 0 iterations 537
Cbc0038I Pass  18: (90.29 seconds) suminf.  167.00000 (361) obj. 1.23075 iterations 4586
Cbc0038I Pass  19: (115.14 seconds) suminf.   37.54167 (111) obj. 0.233029 iterations 5701
Cbc0038I Pass  20: (119.48 seconds) suminf.   31.70833 (96) obj. 0.219425 iterations 854
Cbc0038I Pass  21: (121.91 seconds) suminf.   30.54167 (100) obj. 0.237292 iterations 408
Cbc0038I Pass  22: (123.28 seconds) suminf.   30.41667 (100) obj. 0.232383 iterations 247
Cbc0038I Pass  23: (123.96 seconds) suminf.   30.41667 (100) obj. 0.232383 iterations 106
Cbc0038I Pass  24: (129.15 seconds) suminf.   26.66667 (74) obj. 0.2432 iterations 885
Cbc0038I Pass  25: (130.92 seconds) suminf.   25.16667 (68) obj. 0.241867 iterations 283
Cbc0038I Pass  26: (133.78 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 393
Cbc0038I Pass  27: (135.08 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 192
Cbc0038I Pass  28: (136.72 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 222
Cbc0038I Pass  29: (137.58 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 165
Cbc0038I Pass  30: (141.23 seconds) suminf.   22.66667 (68) obj. 0.237867 iterations 479
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 20446 integers at bound fixed and 3251 continuous
Cbc0038I Full problem 71729 rows 27759 columns, reduced to 16640 rows 2939 columns
Cbc0038I Mini branch and bound did not improve solution (142.16 seconds)
Cbc0038I After 142.16 seconds - Feasibility pump exiting - took 130.89 seconds
Cbc0031I 138 added rows had average density of 72.384058
Cbc0013I At root node, 138 cuts changed objective from 0 to 0.12010892 in 36 passes
Cbc0014I Cut generator 0 (Probing) - 59 row cuts average 6.8 elements, 0 column cuts (10 active)  in 115.193 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 5188 row cuts average 299.6 elements, 0 column cuts (0 active)  in 55.297 seconds - new frequency is 1
Cbc0014I Cut generator 2 (liftKnapsack) - 2 row cuts average 6.0 elements, 0 column cuts (0 active)  in 173.041 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.930 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 3.534 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 26 row cuts average 9.8 elements, 0 column cuts (0 active)  in 10.493 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.825 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 348 row cuts average 53.7 elements, 0 column cuts (0 active)  in 3.247 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 0.12010892 (1248.11 seconds)
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 0.12010892 (1699.04 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 0.12010892 (1767.00 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 0.12010892 (1850.95 seconds)
Cbc0010I After 4 nodes, 5 on tree, 1e+50 best solution, best possible 0.12010892 (1872.56 seconds)
Cbc0010I After 5 nodes, 6 on tree, 1e+50 best solution, best possible 0.12010892 (1893.31 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 0.12010892 (1951.64 seconds)
Cbc0010I After 7 nodes, 8 on tree, 1e+50 best solution, best possible 0.12010892 (1975.91 seconds)
Cbc0010I After 8 nodes, 8 on tree, 1e+50 best solution, best possible 0.12010892 (2148.88 seconds)
Cbc0010I After 9 nodes, 9 on tree, 1e+50 best solution, best possible 0.12010892 (2170.96 seconds)
Cbc0010I After 10 nodes, 9 on tree, 1e+50 best solution, best possible 0.12010892 (2267.46 seconds)
Cbc0010I After 11 nodes, 10 on tree, 1e+50 best solution, best possible 0.12010892 (2294.66 seconds)
Cbc0010I After 12 nodes, 10 on tree, 1e+50 best solution, best possible 0.12010892 (2349.24 seconds)
Cbc0010I After 13 nodes, 11 on tree, 1e+50 best solution, best possible 0.12010892 (2389.39 seconds)
Cbc0010I After 14 nodes, 11 on tree, 1e+50 best solution, best possible 0.12010892 (2463.96 seconds)
Cbc0010I After 15 nodes, 12 on tree, 1e+50 best solution, best possible 0.12010892 (2504.38 seconds)
Cbc0010I After 16 nodes, 13 on tree, 1e+50 best solution, best possible 0.12010892 (2536.07 seconds)
Cbc0010I After 17 nodes, 13 on tree, 1e+50 best solution, best possible 0.12010892 (2613.87 seconds)
Cbc0010I After 18 nodes, 13 on tree, 1e+50 best solution, best possible 0.12010892 (2729.82 seconds)
Cbc0010I After 19 nodes, 14 on tree, 1e+50 best solution, best possible 0.12010892 (2758.18 seconds)
Cbc0010I After 20 nodes, 14 on tree, 1e+50 best solution, best possible 0.12010892 (2813.36 seconds)
Cbc0010I After 21 nodes, 15 on tree, 1e+50 best solution, best possible 0.12010892 (2834.62 seconds)
Cbc0010I After 22 nodes, 15 on tree, 1e+50 best solution, best possible 0.12010892 (2915.84 seconds)
Cbc0010I After 23 nodes, 16 on tree, 1e+50 best solution, best possible 0.12010892 (3030.50 seconds)
Cbc0010I After 24 nodes, 16 on tree, 1e+50 best solution, best possible 0.12010892 (3124.69 seconds)
Cbc0010I After 25 nodes, 17 on tree, 1e+50 best solution, best possible 0.12010892 (3155.05 seconds)
Cbc0010I After 26 nodes, 18 on tree, 1e+50 best solution, best possible 0.12010892 (3185.64 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 0.12010892 (3253.27 seconds)
Cbc0010I After 28 nodes, 18 on tree, 1e+50 best solution, best possible 0.12010892 (3336.32 seconds)
Cbc0010I After 29 nodes, 19 on tree, 1e+50 best solution, best possible 0.12010892 (3384.23 seconds)
