Stopped on time (no integer solution - continuous used) - objective value 35762.00000000
      0 x[r,'Table:_0']                                               29                       0
      1 x[r,'Table:_1']                                               29                       0
      2 x[r,'Table:_2']                                               29                       0
      3 x[r,'Table:_3']                                               29                       0
      4 x[r,'Table:_4']                                        26.791045                       0
      5 x[r,'Table:_5']                                               29                       0
      6 x[r,'Table:_6']                                               29                       0
      7 x[r,'Table:_7']                                               29                       0
      8 x[r,'Table:_8']                                               25                       0
      9 x[r,'Table:_9']                                               29                       0
     10 x[r,'Table:_10']                                              25                       0
     11 x[r,'Table:_11']                                              25                       0
     12 x[r,'Table:_12']                                              29                       0
     13 x[r,'Table:_13']                                              29                       0
     14 x[r,'Table:_14']                                              25                       0
     15 x[r,'Table:_15']                                              29                       0
     16 x[r,'Table:_16']                                              29                       0
     17 x[r,'Table:_17']                                              25                       0
     18 x[r,'Table:_18']                                              25                       0
     19 x[r,'Table:_19']                                              25                       0
     20 x[r,'Table:_20']                                              29                       0
     21 x[r,'Table:_21']                                              29                       0
     22 x[r,'Table:_22']                                              29                       0
     23 x[r,'Table:_23']                                              29                       0
     24 x[r,'Table:_24']                                              29                       0
     25 x[r,'Table:_25']                                              29                       0
     26 x[r,'Table:_26']                                              29                       0
     27 x[r,'Table:_27']                                              25                       0
     28 x[r,'Table:_28']                                              25                       0
     29 x[r,'Table:_29']                                              25                       0
     30 x[r,'Table:_30']                                              29                       0
     31 x[r,'Table:_31']                                              25                       0
     32 x[r,'Table:_32']                                              29                       0
     33 x[r,'Table:_33']                                              21                       0
     34 x[r,'Table:_34']                                              29                       0
     35 x[r,'Table:_35']                                              25                       0
     36 x[r,'Table:_36']                                       8.8814203                       0
     37 x[r,'Table:_37']                                              29                       0
     38 x[r,'Table:_38']                                              29                       0
     39 x[r,'Table:_39']                                              29                       0
     40 x[r,'Table:_40']                                              29                       0
     41 x[r,'Table:_41']                                              29                       0
     42 x[r,'Table:_42']                                              29                       0
     43 x[r,'Table:_43']                                              29                       0
     44 x[r,'Table:_44']                                              29                       0
     45 x[r,'Table:_45']                                              25                       0
     46 x[r,'Table:_46']                                              29                       0
     47 x[r,'Table:_47']                                              25                       0
     48 x[r,'Table:_48']                                              29                       0
     49 x[r,'Table:_49']                                              29                       0
     50 x[r,'Table:_50']                                              29                       0
     51 x[r,'Table:_51']                                              29                       0
     52 x[r,'Table:_52']                                              29                       0
     53 x[r,'Table:_53']                                              29                       0
     54 x[r,'Table:_54']                                              29                       0
     55 x[r,'Table:_55']                                              25                       0
     56 x[r,'Table:_56']                                              21                       0
     57 x[r,'Table:_57']                                        27.65507                       0
     58 x[r,'Table:_58']                                              29                       0
     59 x[r,'Table:_59']                                              25                       0
     60 x[r,'Table:_60']                                       22.791045                       0
     61 x[r,'Table:_61']                                              29                       0
     62 x[r,'Table:_62']                                              29                       0
     63 x[r,'Table:_63']                                              29                       0
     64 x[r,'Table:_64']                                       4.8814203                       0
     65 x[r,'Table:_65']                                              29                       0
     66 x[r,'Table:_66']                                              25                       0
     67 x[c,'Table:_0']                                               28                       0
     68 x[c,'Table:_1']                                               28                       0
     69 x[c,'Table:_2']                                               28                       0
     70 x[c,'Table:_3']                                               28                       0
     71 x[c,'Table:_4']                                               28                       0
     72 x[c,'Table:_5']                                               28                       0
     73 x[c,'Table:_6']                                               28                       0
     74 x[c,'Table:_7']                                               28                       0
     75 x[c,'Table:_8']                                               28                       0
     76 x[c,'Table:_9']                                               28                       0
     77 x[c,'Table:_10']                                            27.5                       0
     78 x[c,'Table:_11']                                            27.5                       0
     79 x[c,'Table:_12']                                            27.5                       0
     80 x[c,'Table:_13']                                            27.5                       0
     81 x[c,'Table:_14']                                            27.5                       0
     82 x[c,'Table:_15']                                            27.5                       0
     83 x[c,'Table:_16']                                            27.5                       0
     84 x[c,'Table:_17']                                            27.5                       0
     85 x[c,'Table:_18']                                            27.5                       0
     86 x[c,'Table:_19']                                            27.5                       0
     87 x[c,'Table:_20']                                            27.5                       0
     88 x[c,'Table:_21']                                            27.5                       0
     89 x[c,'Table:_22']                                            27.5                       0
     90 x[c,'Table:_23']                                            27.5                       0
     91 x[c,'Table:_24']                                            27.5                       0
     92 x[c,'Table:_25']                                            27.5                       0
     93 x[c,'Table:_26']                                            27.5                       0
     94 x[c,'Table:_27']                                            27.5                       0
     95 x[c,'Table:_28']                                            27.5                       0
     96 x[c,'Table:_29']                                            27.5                       0
     97 x[c,'Table:_30']                                            27.5                       0
     98 x[c,'Table:_31']                                            27.5                       0
     99 x[c,'Table:_32']                                            27.5                       0
    100 x[c,'Table:_33']                                            27.5                       0
    101 x[c,'Table:_34']                                            27.5                       0
    102 x[c,'Table:_35']                                            27.5                       0
    103 x[c,'Table:_36']                                            27.5                       0
    104 x[c,'Table:_37']                                            27.5                       0
    105 x[c,'Table:_38']                                            27.5                       0
    106 x[c,'Table:_39']                                            27.5                       0
    107 x[c,'Table:_40']                                            27.5                       0
    108 x[c,'Table:_41']                                            27.5                       0
    109 x[c,'Table:_42']                                            27.5                       0
    110 x[c,'Table:_43']                                            27.5                       0
    111 x[c,'Table:_44']                                            27.5                       0
    112 x[c,'Table:_45']                                            27.5                       0
    113 x[c,'Table:_46']                                            27.5                       0
    114 x[c,'Table:_47']                                            27.5                       0
    115 x[c,'Table:_48']                                            27.5                       0
    116 x[c,'Table:_49']                                            27.5                       0
    117 x[c,'Table:_50']                                            27.5                       0
    118 x[c,'Table:_51']                                            27.5                       0
    119 x[c,'Table:_52']                                            27.5                       0
    120 x[c,'Table:_53']                                            27.5                       0
    121 x[c,'Table:_54']                                            27.5                       0
    122 x[c,'Table:_55']                                            27.5                       0
    123 x[c,'Table:_56']                                            27.5                       0
    124 x[c,'Table:_57']                                            27.5                       0
    125 x[c,'Table:_58']                                            27.5                       0
    126 x[c,'Table:_59']                                            27.5                       0
    127 x[c,'Table:_60']                                            27.5                       0
    128 x[c,'Table:_61']                                            27.5                       0
    129 x[c,'Table:_62']                                            27.5                       0
    130 x[c,'Table:_63']                                            27.5                       0
    131 x[c,'Table:_64']                                            27.5                       0
    132 x[c,'Table:_65']                                            27.5                       0
    133 x[c,'Table:_66']                                            27.5                       0
    138 center_dist[r,'Table:_4']                              2.2089552                       0
    142 center_dist[r,'Table:_8']                                      4                       0
    144 center_dist[r,'Table:_10']                                     4                       0
    145 center_dist[r,'Table:_11']                                     4                       0
    148 center_dist[r,'Table:_14']                                     4                       0
    151 center_dist[r,'Table:_17']                                     4                       0
    152 center_dist[r,'Table:_18']                                     4                       0
    153 center_dist[r,'Table:_19']                                     4                       0
    161 center_dist[r,'Table:_27']                                     4                       0
    162 center_dist[r,'Table:_28']                                     4                       0
    163 center_dist[r,'Table:_29']                                     4                       0
    165 center_dist[r,'Table:_31']                                     4                       0
    167 center_dist[r,'Table:_33']                                     8                       0
    169 center_dist[r,'Table:_35']                                     4                       0
    170 center_dist[r,'Table:_36']                              20.11858                       0
    179 center_dist[r,'Table:_45']                                     4                       0
