Stopped on time - objective value 11628.73487474
      3 P(14,4,1)                         321.4                -0.03944
      8 P(14,4,2)                         321.4                -0.03871
     13 P(14,4,3)                         321.4                -0.03871
     18 P(14,4,4)                         321.4                -0.03871
     23 P(14,4,5)                         321.4                -0.03871
     28 P(14,4,6)                         321.4                -0.03871
     33 P(14,4,7)                         321.4                -0.03871
     38 P(14,4,8)                         321.4                -0.03871
     43 P(14,4,9)                         321.4                -0.03871
     48 P(14,4,10)                        321.4                -0.03871
     53 P(14,4,11)                        321.4                -0.03944
     58 P(14,4,12)                        321.4                -0.03871
     63 P(14,4,13)                        321.4                -0.04232
     68 P(14,4,14)                        321.4                -0.03944
     73 P(14,4,15)                        321.4                -0.03944
     78 P(14,4,16)                        321.4                -0.04232
     83 P(14,4,17)                        321.4                -0.03944
     88 P(14,4,18)                        321.4                -0.03944
     93 P(14,4,19)                        321.4                -0.03871
     98 P(14,4,20)                        321.4                -0.03871
    103 P(14,4,21)                        321.4                -0.03871
    108 P(14,4,22)                        321.4                -0.03871
    113 P(14,4,23)                        321.4                -0.03871
    118 P(14,4,24)                        321.4                -0.03944
    123 P(14,4,25)                        321.4                -0.03871
    128 P(14,4,26)                        321.4                -0.03391
    133 P(14,4,27)                        321.4                -0.03871
    138 P(14,4,28)                        321.4                -0.03871
    143 P(14,4,29)                        321.4                -0.03871
    148 P(14,4,30)                        321.4                -0.03871
    153 P(14,4,31)                        321.4                -0.03871
    158 P(14,4,32)                        321.4                -0.03871
    163 P(14,4,33)                        321.4                -0.03871
    168 P(14,4,34)                        321.4                -0.03871
    173 P(14,4,35)                        321.4                -0.04232
    178 P(14,4,36)                        321.4                -0.03871
    183 P(14,4,37)                        321.4                -0.03871
    188 P(14,4,38)                        321.4                -0.03944
    193 P(14,4,39)                        321.4                -0.03944
    198 P(14,4,40)                        321.4                -0.04232
    203 P(14,4,41)                        321.4                -0.03944
    208 P(14,4,42)                        321.4                -0.03944
    213 P(14,4,43)                        321.4                -0.03944
    218 P(14,4,44)                        321.4                -0.03944
    223 P(14,4,45)                        321.4                -0.03944
    228 P(14,4,46)                        321.4                -0.03871
    233 P(14,4,47)                        321.4                -0.04232
    238 P(14,4,48)                        321.4                -0.03944
    243 P(14,4,49)                        321.4                -0.03871
    248 P(14,4,50)                        321.4                -0.03944
    253 P(14,4,51)                        321.4                -0.03944
    258 P(14,4,52)                        321.4                -0.03944
    263 P(14,4,53)                        321.4                -0.03871
    268 P(14,4,54)                        321.4                -0.03944
    273 P(14,4,55)                        321.4                -0.03871
    278 P(14,4,56)                        321.4                -0.03391
    283 P(14,4,57)                        321.4                -0.03871
    288 P(14,4,58)                        321.4                -0.03871
    293 P(14,4,59)                        321.4                -0.03944
    298 P(14,4,60)                        321.4                -0.03944
    303 P(14,4,61)                        321.4                -0.04232
    308 P(14,4,62)                        321.4                -0.03944
    313 P(14,4,63)                        321.4                -0.03944
    318 P(14,4,64)                        321.4                -0.04232
    323 P(14,4,65)                        321.4                -0.03944
    328 P(14,4,66)                        321.4                -0.03944
    333 P(14,4,67)                        321.4                -0.03871
    338 P(14,4,68)                        321.4                -0.04232
    343 P(14,4,69)                        321.4                -0.03871
    348 P(14,4,70)                        321.4                -0.03871
    353 P(14,4,71)                        321.4                -0.03871
    358 P(14,4,72)                        321.4                -0.03871
    363 P(14,4,73)                        321.4                -0.04232
    368 P(14,4,74)                        321.4                -0.03944
    373 P(14,4,75)                        321.4                -0.03944
    378 P(14,4,76)                        321.4                -0.03944
    383 P(14,4,77)                        321.4                -0.03871
    388 P(14,4,78)                        321.4                -0.03871
    393 P(14,4,79)                        321.4                -0.03871
    398 P(14,4,80)                        321.4                -0.03871
    403 P(14,4,81)                        321.4                -0.03871
    408 P(14,4,82)                        321.4                -0.03871
    413 P(14,4,83)                        321.4                -0.03944
    418 P(14,4,84)                        321.4                -0.03944
    423 P(14,4,85)                        321.4                -0.03944
    428 P(14,4,86)                        321.4                -0.03944
    433 P(14,4,87)                        321.4                -0.03944
    438 P(14,4,88)                        321.4                -0.04232
    443 P(14,4,89)                        321.4                -0.03944
    448 P(14,4,90)                        321.4                -0.02336
    453 P(14,4,91)                        321.4                -0.02336
    458 P(14,4,92)                        321.4                -0.03067
    463 P(14,4,93)                        321.4                -0.03067
    468 P(14,4,94)                        321.4                -0.03067
    473 P(14,4,95)                        321.4                -0.03067
    478 P(14,4,96)                        321.4                -0.02336
    483 P(14,4,97)                        321.4                -0.02336
    488 P(14,4,98)                        321.4                -0.03944
    493 P(14,4,99)                        321.4                -0.03944
    498 P(14,4,100)                       321.4                -0.03944
    503 P(14,4,101)                       321.4                -0.03871
    508 P(14,4,102)                       321.4                -0.03871
    513 P(14,4,103)                       321.4                -0.03944
    518 P(14,4,104)                       321.4                -0.03871
