Stopped on time - objective value 28704.72865374
      2 P(19,3,1)                       142.764                       0
      6 P(19,3,2)                         135.3                       0
     10 P(19,3,3)                           158                 -0.0991
     14 P(19,3,4)                           158                 -0.0991
     18 P(19,3,5)                           158                -0.09468
     22 P(19,3,6)                           158                 -0.0991
     26 P(19,3,7)                         135.3                       0
     30 P(19,3,8)                         135.3                       0
     34 P(19,3,9)                       157.128                       0
     38 P(19,3,10)                      155.128                       0
     42 P(19,3,11)                          158                -0.01088
     46 P(19,3,12)                          158                -0.00812
     50 P(19,3,13)                          158                -0.00812
     54 P(19,3,14)                          158                -0.00812
     58 P(19,3,15)                          158                -0.01088
     62 P(19,3,16)                          158                -0.01088
     66 P(19,3,17)                          158                -0.01088
     70 P(19,3,18)                          158                -0.01088
     74 P(19,3,19)                          158                -0.07187
     78 P(19,3,20)                          158                -0.07187
     82 P(19,3,21)                          158                -0.07187
     86 P(19,3,22)                          158                -0.07187
     90 P(19,3,23)                          158                -0.00812
     94 P(19,3,24)                          158                -0.00812
     98 P(19,3,25)                          158                -0.00812
    102 P(19,3,26)                      148.764                       0
    106 P(19,3,27)                      150.764                       0
    110 P(19,3,28)                      150.764                       0
    114 P(19,3,29)                          158                 -0.0991
    118 P(19,3,30)                          158                -0.09468
    122 P(19,3,31)                          158                -0.00812
    126 P(19,3,32)                          158                -0.00812
    130 P(19,3,33)                          158                -0.01088
    134 P(19,3,34)                          158                -0.01088
    138 P(19,3,35)                          158                -0.07187
    142 P(19,3,36)                          158                -0.07187
    146 P(19,3,37)                          158                -0.07187
    150 P(19,3,38)                          158                -0.07187
    154 P(19,3,39)                          158                -0.07187
    158 P(19,3,40)                          158                -0.07187
    162 P(19,3,41)                          158                -0.07187
    166 P(19,3,42)                          158                -0.07187
    170 P(19,3,43)                          158                -0.07187
    174 P(19,3,44)                          158                -0.07187
    178 P(19,3,45)                          158                -0.07187
    182 P(19,3,46)                          158                 -0.0991
    186 P(19,3,47)                          158                -0.07187
    190 P(19,3,48)                          158                 -0.0991
    194 P(19,3,49)                          158                -0.01088
    198 P(19,3,50)                      156.128                       0
    202 P(19,3,51)                      157.128                       0
    206 P(19,3,52)                      155.128                       0
    210 P(19,3,53)                       153.82                       0
    214 P(19,3,54)                      154.764                       0
    218 P(19,3,55)                          158                -0.00812
    222 P(19,3,56)                      156.128                       0
    226 P(19,3,57)                          158                -0.00812
    230 P(19,3,58)                          158                -0.00812
    234 P(19,3,59)                          158                -0.01088
    238 P(19,3,60)                          158                -0.07187
    242 P(19,3,61)                          158                -0.07187
    246 P(19,3,62)                          158                -0.07187
