Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/s1234.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME s1234
At line 2 ROWS
At line 8422 COLUMNS
At line 53322 RHS
At line 54348 BOUNDS
At line 57294 ENDATA
Problem s1234 has 8418 rows, 2945 columns and 44641 elements
Coin0008I s1234 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0.361925 - 69.3973 seconds
Cgl0002I 1 variables fixed
Cgl0003I 0 fixed, 0 tightened bounds, 984 strengthened rows, 240 substitutions
Cgl0004I processed model has 7233 rows, 2864 columns (2864 integer (2864 of which binary)) and 41168 elements
Coin3009W Conflict graph built in 0.008 seconds, density: 0.040%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 2087 integers unsatisfied sum - 1.58655
Cbc0038I Pass   1: (136.56 seconds) suminf.    1.09091 (5) obj. 0.436364 iterations 17886
Cbc0038I Pass   2: (136.86 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 148
Cbc0038I Pass   3: (138.05 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 415
Cbc0038I Pass   4: (138.25 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 51
Cbc0038I Pass   5: (138.31 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 3
Cbc0038I Pass   6: (138.38 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 8
Cbc0038I Pass   7: (138.50 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 26
Cbc0038I Pass   8: (138.74 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 77
Cbc0038I Pass   9: (139.03 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 85
Cbc0038I Pass  10: (139.12 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 12
Cbc0038I Pass  11: (139.27 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 35
Cbc0038I Pass  12: (139.42 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 40
Cbc0038I Pass  13: (139.89 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 143
Cbc0038I Pass  14: (140.10 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 62
Cbc0038I Pass  15: (140.16 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 3
Cbc0038I Pass  16: (140.23 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 4
Cbc0038I Pass  17: (140.39 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 39
Cbc0038I Pass  18: (140.69 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 82
Cbc0038I Pass  19: (140.96 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 76
Cbc0038I Pass  20: (141.03 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 5
Cbc0038I Pass  21: (141.18 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 35
Cbc0038I Pass  22: (141.34 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 45
Cbc0038I Pass  23: (141.64 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 83
Cbc0038I Pass  24: (141.87 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 65
Cbc0038I Pass  25: (141.94 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 7
Cbc0038I Pass  26: (142.05 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 20
Cbc0038I Pass  27: (142.23 seconds) suminf.    1.04000 (6) obj. 0.506667 iterations 47
Cbc0038I Pass  28: (142.50 seconds) suminf.    1.00000 (3) obj. 1.33333 iterations 74
Cbc0038I Pass  29: (142.69 seconds) suminf.    0.99492 (3) obj. 1.11675 iterations 51
Cbc0038I Pass  30: (142.78 seconds) suminf.    1.20000 (3) obj. 1.2 iterations 16
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 265 integers at bound fixed and 0 continuous
Cbc0038I Full problem 7233 rows 2864 columns, reduced to 6655 rows 2570 columns - too large
Cbc0038I Mini branch and bound did not improve solution (145.81 seconds)
Cbc0038I Full problem 7234 rows 2864 columns, reduced to 7234 rows 2864 columns - too large
Cbc0038I After 146.10 seconds - Feasibility pump exiting - took 54.41 seconds
Cbc0031I 294 added rows had average density of 7.547619
Cbc0013I At root node, 294 cuts changed objective from 0.36192453 to 0.5392057 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 323 row cuts average 24.3 elements, 0 column cuts (163 active)  in 0.317 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.842 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 1010 row cuts average 4.4 elements, 0 column cuts (0 active)  in 2.563 seconds - new frequency is 1
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.161 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 4.950 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 1 row cuts average 128.0 elements, 0 column cuts (0 active)  in 0.382 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.022 seconds - new frequency is -100
Cbc0014I Cut generator 8 (ZeroHalf) - 365 row cuts average 41.2 elements, 0 column cuts (0 active)  in 26.436 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 0.5392057 (346.13 seconds)
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 0.5392057 (386.21 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 0.5392057 (396.49 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 0.5392057 (428.34 seconds)
Cbc0010I After 4 nodes, 5 on tree, 1e+50 best solution, best possible 0.5392057 (474.19 seconds)
Cbc0010I After 5 nodes, 6 on tree, 1e+50 best solution, best possible 0.5392057 (509.51 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 0.5392057 (544.47 seconds)
Cbc0010I After 7 nodes, 8 on tree, 1e+50 best solution, best possible 0.5392057 (574.86 seconds)
Cbc0010I After 8 nodes, 9 on tree, 1e+50 best solution, best possible 0.5392057 (604.05 seconds)
Cbc0010I After 9 nodes, 9 on tree, 1e+50 best solution, best possible 0.5392057 (733.06 seconds)
Cbc0010I After 10 nodes, 9 on tree, 1e+50 best solution, best possible 0.5392057 (900.21 seconds)
Cbc0010I After 11 nodes, 10 on tree, 1e+50 best solution, best possible 0.5392057 (930.24 seconds)
Cbc0010I After 12 nodes, 11 on tree, 1e+50 best solution, best possible 0.5392057 (966.71 seconds)
Cbc0010I After 13 nodes, 11 on tree, 1e+50 best solution, best possible 0.5392057 (1087.96 seconds)
Cbc0010I After 14 nodes, 11 on tree, 1e+50 best solution, best possible 0.5392057 (1227.23 seconds)
Cbc0010I After 15 nodes, 12 on tree, 1e+50 best solution, best possible 0.5392057 (1253.21 seconds)
Cbc0010I After 16 nodes, 12 on tree, 1e+50 best solution, best possible 0.5392057 (1377.77 seconds)
Cbc0010I After 17 nodes, 13 on tree, 1e+50 best solution, best possible 0.5392057 (1498.20 seconds)
Cbc0010I After 18 nodes, 13 on tree, 1e+50 best solution, best possible 0.5392057 (1609.61 seconds)
Cbc0010I After 19 nodes, 14 on tree, 1e+50 best solution, best possible 0.5392057 (1635.02 seconds)
Cbc0010I After 20 nodes, 14 on tree, 1e+50 best solution, best possible 0.5392057 (1728.12 seconds)
Cbc0010I After 21 nodes, 15 on tree, 1e+50 best solution, best possible 0.5392057 (1771.42 seconds)
Cbc0010I After 22 nodes, 15 on tree, 1e+50 best solution, best possible 0.5392057 (1865.71 seconds)
Cbc0010I After 23 nodes, 16 on tree, 1e+50 best solution, best possible 0.5392057 (1913.04 seconds)
Cbc0010I After 24 nodes, 17 on tree, 1e+50 best solution, best possible 0.5392057 (1950.66 seconds)
Cbc0010I After 25 nodes, 17 on tree, 1e+50 best solution, best possible 0.5392057 (2038.94 seconds)
Cbc0010I After 26 nodes, 17 on tree, 1e+50 best solution, best possible 0.5392057 (2141.57 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 0.5392057 (2199.76 seconds)
Cbc0010I After 28 nodes, 19 on tree, 1e+50 best solution, best possible 0.5392057 (2248.92 seconds)
Cbc0010I After 29 nodes, 20 on tree, 1e+50 best solution, best possible 0.5392057 (2298.67 seconds)
Cbc0010I After 30 nodes, 21 on tree, 1e+50 best solution, best possible 0.5392057 (2356.20 seconds)
Cbc0010I After 31 nodes, 22 on tree, 1e+50 best solution, best possible 0.5392057 (2406.53 seconds)
