Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos5.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos5.txt -quit (default strategy 1)
At line 1 NAME          neos5
At line 2 ROWS
At line 67 COLUMNS
At line 1141 RHS
At line 1174 BOUNDS
At line 1238 ENDATA
Problem neos5 has 63 rows, 63 columns and 2016 elements
Coin0008I neos5 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 13 - 0.007764 seconds
Cgl0004I processed model has 63 rows, 63 columns (53 integer (53 of which binary)) and 2016 elements
Coin3009W Conflict graph built in 0.000 seconds, density: 0.662%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 35 integers unsatisfied sum - 12.75
Cbc0038I Pass   1: suminf.    1.50000 (3) obj. 18.5 iterations 96
Cbc0038I Pass   2: suminf.    1.50000 (3) obj. 18.5 iterations 0
Cbc0038I Solution found of 20
Cbc0038I Relaxing continuous gives 19.5
Cbc0038I Before mini branch and bound, 13 integers at bound fixed and 1 continuous
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 49 columns
Cbc0038I Mini branch and bound improved solution from 19.5 to 15.5 (0.39 seconds)
Cbc0038I Round again with cutoff of 15.2499
Cbc0038I Pass   3: suminf.    3.00018 (13) obj. 15.2499 iterations 18
Cbc0038I Pass   4: suminf.    1.00000 (4) obj. 15.2499 iterations 19
Cbc0038I Pass   5: suminf.    0.75009 (4) obj. 15.2499 iterations 12
Cbc0038I Pass   6: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass   7: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass   8: suminf.    1.24973 (4) obj. 15.2499 iterations 22
Cbc0038I Pass   9: suminf.    0.87514 (3) obj. 15.2499 iterations 3
Cbc0038I Pass  10: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  11: suminf.    1.24973 (6) obj. 15.2499 iterations 21
Cbc0038I Pass  12: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  13: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  14: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  15: suminf.    1.24973 (4) obj. 15.2499 iterations 26
Cbc0038I Pass  16: suminf.    0.87514 (3) obj. 15.2499 iterations 4
Cbc0038I Pass  17: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  18: suminf.    1.24973 (6) obj. 15.2499 iterations 22
Cbc0038I Pass  19: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  20: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  21: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  22: suminf.    1.24973 (4) obj. 15.2499 iterations 22
Cbc0038I Pass  23: suminf.    0.87514 (3) obj. 15.2499 iterations 3
Cbc0038I Pass  24: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  25: suminf.    1.24973 (6) obj. 15.2499 iterations 21
Cbc0038I Pass  26: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  27: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  28: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  29: suminf.    1.24973 (4) obj. 15.2499 iterations 23
Cbc0038I Pass  30: suminf.    0.87514 (3) obj. 15.2499 iterations 4
Cbc0038I Pass  31: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  32: suminf.    1.24973 (6) obj. 15.2499 iterations 22
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 13 integers at bound fixed and 4 continuous
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 46 columns
Cbc0038I Mini branch and bound did not improve solution (0.80 seconds)
Cbc0038I After 0.80 seconds - Feasibility pump exiting with objective of 15.5 - took 0.79 seconds
Cbc0012I Integer solution of 15.5 found by feasibility pump after 0 iterations and 0 nodes (0.80 seconds)
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 46 columns
Cbc0031I 11 added rows had average density of 63
Cbc0013I At root node, 11 cuts changed objective from 13 to 13.643387 in 100 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.079 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 2414 row cuts average 63.0 elements, 0 column cuts (0 active)  in 0.502 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.121 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.074 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 18 row cuts average 62.5 elements, 0 column cuts (0 active)  in 0.349 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.115 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 15.5 best solution, best possible 13.643387 (5.98 seconds)
Cbc0010I After 49 nodes, 30 on tree, 15.5 best solution, best possible 13.643387 (6.68 seconds)
Cbc0010I After 391 nodes, 201 on tree, 15.5 best solution, best possible 13.643387 (7.38 seconds)
Cbc0010I After 500 nodes, 252 on tree, 15.5 best solution, best possible 13.643387 (10.69 seconds)
Cbc0010I After 798 nodes, 398 on tree, 15.5 best solution, best possible 13.643387 (11.39 seconds)
Cbc0010I After 1141 nodes, 526 on tree, 15.5 best solution, best possible 13.643387 (12.09 seconds)
Cbc0010I After 1614 nodes, 520 on tree, 15.5 best solution, best possible 13.643387 (12.79 seconds)
Cbc0010I After 2061 nodes, 520 on tree, 15.5 best solution, best possible 13.643387 (13.49 seconds)
Cbc0010I After 2521 nodes, 514 on tree, 15.5 best solution, best possible 13.643387 (14.19 seconds)
Cbc0010I After 2971 nodes, 520 on tree, 15.5 best solution, best possible 13.643387 (14.90 seconds)
Cbc0010I After 3249 nodes, 514 on tree, 15.5 best solution, best possible 13.643387 (15.60 seconds)
Cbc0010I After 3558 nodes, 518 on tree, 15.5 best solution, best possible 13.643387 (16.30 seconds)
Cbc0004I Integer solution of 15 found after 35853 iterations and 3615 nodes (16.42 seconds)
Cbc0010I After 3687 nodes, 471 on tree, 15 best solution, best possible 13.643387 (17.00 seconds)
Cbc0010I After 3846 nodes, 549 on tree, 15 best solution, best possible 13.643387 (17.71 seconds)
Cbc0010I After 4117 nodes, 678 on tree, 15 best solution, best possible 13.643387 (18.41 seconds)
Cbc0010I After 4421 nodes, 822 on tree, 15 best solution, best possible 13.643387 (19.11 seconds)
Cbc0010I After 4751 nodes, 980 on tree, 15 best solution, best possible 13.643387 (19.81 seconds)
Cbc0010I After 5133 nodes, 1092 on tree, 15 best solution, best possible 13.643387 (20.51 seconds)
Cbc0010I After 5536 nodes, 1096 on tree, 15 best solution, best possible 13.643387 (21.21 seconds)
Cbc0010I After 5945 nodes, 1094 on tree, 15 best solution, best possible 13.643387 (21.91 seconds)
Cbc0010I After 6323 nodes, 1090 on tree, 15 best solution, best possible 13.643387 (22.61 seconds)
Cbc0010I After 6688 nodes, 1092 on tree, 15 best solution, best possible 13.643387 (23.32 seconds)
Cbc0010I After 7083 nodes, 1092 on tree, 15 best solution, best possible 13.643387 (24.02 seconds)
Cbc0010I After 7424 nodes, 1090 on tree, 15 best solution, best possible 13.643387 (24.72 seconds)
Cbc0010I After 7791 nodes, 1091 on tree, 15 best solution, best possible 13.643387 (25.42 seconds)
Cbc0010I After 8103 nodes, 1093 on tree, 15 best solution, best possible 13.643387 (26.12 seconds)
Cbc0010I After 8417 nodes, 1093 on tree, 15 best solution, best possible 13.643387 (26.82 seconds)
Cbc0010I After 8733 nodes, 1087 on tree, 15 best solution, best possible 13.643387 (27.52 seconds)
Cbc0010I After 9062 nodes, 1098 on tree, 15 best solution, best possible 13.643387 (28.23 seconds)
Cbc0010I After 9381 nodes, 1094 on tree, 15 best solution, best possible 13.643387 (28.93 seconds)
Cbc0010I After 9733 nodes, 1099 on tree, 15 best solution, best possible 13.643387 (29.63 seconds)
Cbc0010I After 10094 nodes, 1101 on tree, 15 best solution, best possible 13.643387 (30.33 seconds)
Cbc0010I After 10464 nodes, 1098 on tree, 15 best solution, best possible 13.643387 (31.03 seconds)
Cbc0010I After 10841 nodes, 1095 on tree, 15 best solution, best possible 13.643387 (31.73 seconds)
Cbc0010I After 11047 nodes, 1121 on tree, 15 best solution, best possible 13.649677 (32.44 seconds)
Cbc0010I After 11255 nodes, 1226 on tree, 15 best solution, best possible 13.75 (33.14 seconds)
Cbc0010I After 11514 nodes, 1355 on tree, 15 best solution, best possible 13.75 (33.84 seconds)
Cbc0010I After 11776 nodes, 1483 on tree, 15 best solution, best possible 13.77017 (34.54 seconds)
Cbc0010I After 12053 nodes, 1623 on tree, 15 best solution, best possible 13.875 (35.24 seconds)
Cbc0010I After 12347 nodes, 1780 on tree, 15 best solution, best possible 13.875 (35.94 seconds)
Cbc0010I After 12618 nodes, 1906 on tree, 15 best solution, best possible 13.875 (36.65 seconds)
Cbc0010I After 12900 nodes, 2056 on tree, 15 best solution, best possible 13.875 (37.35 seconds)
Cbc0010I After 13248 nodes, 2109 on tree, 15 best solution, best possible 13.875 (38.05 seconds)
Cbc0010I After 13588 nodes, 2108 on tree, 15 best solution, best possible 13.875 (38.75 seconds)
Cbc0010I After 13916 nodes, 2107 on tree, 15 best solution, best possible 13.875 (39.46 seconds)
Cbc0010I After 14226 nodes, 2202 on tree, 15 best solution, best possible 13.875 (40.16 seconds)
Cbc0010I After 14515 nodes, 2341 on tree, 15 best solution, best possible 13.875 (40.86 seconds)
Cbc0010I After 14802 nodes, 2484 on tree, 15 best solution, best possible 13.875 (41.56 seconds)
Cbc0010I After 15080 nodes, 2624 on tree, 15 best solution, best possible 13.875 (42.26 seconds)
Cbc0010I After 15351 nodes, 2759 on tree, 15 best solution, best possible 13.899996 (42.96 seconds)
Cbc0010I After 15632 nodes, 2899 on tree, 15 best solution, best possible 13.916667 (43.66 seconds)
Cbc0010I After 15906 nodes, 3037 on tree, 15 best solution, best possible 13.924105 (44.37 seconds)
Cbc0010I After 16170 nodes, 3168 on tree, 15 best solution, best possible 13.92819 (45.07 seconds)
Cbc0010I After 16447 nodes, 3309 on tree, 15 best solution, best possible 13.930213 (45.77 seconds)
Cbc0010I After 16706 nodes, 3438 on tree, 15 best solution, best possible 13.9375 (46.47 seconds)
Cbc0010I After 16992 nodes, 3580 on tree, 15 best solution, best possible 13.949996 (47.17 seconds)
