Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/50v-10.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/50v-10.txt -quit (default strategy 1)
At line 1 NAME          50v-10
At line 2 ROWS
At line 237 COLUMNS
At line 4632 RHS
At line 4659 BOUNDS
At line 6307 ENDATA
Problem 50v-10 has 233 rows, 2013 columns and 2745 elements
Coin0008I 50v-10 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 2879.07 - 0.100023 seconds
Cgl0004I processed model has 233 rows, 2013 columns (1647 integer (1464 of which binary)) and 2745 elements
Coin3009W Conflict graph built in 0.002 seconds, density: 0.018%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 29 integers unsatisfied sum - 8.7963
Cbc0038I Solution found of 2879.07
Cbc0038I Branch and bound needed to clear up 29 general integers
Cbc0038I Full problem 233 rows 2013 columns, reduced to 233 rows 549 columns
Cbc0038I Cleaned solution of 6627.51
Cbc0038I Before mini branch and bound, 1618 integers at bound fixed and 337 continuous
Cbc0038I Mini branch and bound did not improve solution (0.94 seconds)
Cbc0038I Round again with cutoff of 6252.67
Cbc0038I Solution found of 2879.07
Cbc0038I Branch and bound needed to clear up 29 general integers
Cbc0038I Full problem 234 rows 2013 columns, reduced to 234 rows 549 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 1618 integers at bound fixed and 337 continuous
Cbc0038I Mini branch and bound did not improve solution (1.98 seconds)
Cbc0038I After 1.98 seconds - Feasibility pump exiting with objective of 6627.51 - took 1.89 seconds
Cbc0012I Integer solution of 6627.51 found by feasibility pump after 0 iterations and 0 nodes (2.00 seconds)
Cbc0038I Full problem 233 rows 2013 columns, reduced to 20 rows 33 columns
Cbc0012I Integer solution of 6621.18 found by RINS after 0 iterations and 0 nodes (5.24 seconds)
Cbc0012I Integer solution of 6427.1 found by DiveCoefficient after 1239 iterations and 0 nodes (12.72 seconds)
Cbc0031I 73 added rows had average density of 231.79452
Cbc0013I At root node, 73 cuts changed objective from 2879.0657 to 3161.7528 in 15 passes
Cbc0014I Cut generator 0 (Probing) - 6 row cuts average 103.0 elements, 1 column cuts (1 active)  in 5.409 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 249 row cuts average 381.3 elements, 0 column cuts (0 active)  in 0.379 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.072 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.144 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 94 row cuts average 168.4 elements, 0 column cuts (0 active)  in 0.178 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.126 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 219 row cuts average 225.5 elements, 0 column cuts (0 active)  in 0.221 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 6427.1 best solution, best possible 3161.7528 (14.81 seconds)
Cbc0012I Integer solution of 6065.71 found by DiveCoefficient after 1267 iterations and 1 nodes (14.98 seconds)
Cbc0012I Integer solution of 6039.64 found by DiveCoefficient after 1304 iterations and 1 nodes (15.21 seconds)
Cbc0012I Integer solution of 5918.1 found by DiveCoefficient after 1324 iterations and 2 nodes (15.40 seconds)
Cbc0010I After 3 nodes, 4 on tree, 5918.1 best solution, best possible 3161.7528 (15.58 seconds)
Cbc0010I After 14 nodes, 12 on tree, 5918.1 best solution, best possible 3161.7528 (16.30 seconds)
Cbc0010I After 34 nodes, 22 on tree, 5918.1 best solution, best possible 3161.7528 (17.01 seconds)
Cbc0010I After 60 nodes, 35 on tree, 5918.1 best solution, best possible 3161.7528 (17.74 seconds)
Cbc0010I After 84 nodes, 47 on tree, 5918.1 best solution, best possible 3161.7528 (18.45 seconds)
Cbc0010I After 115 nodes, 64 on tree, 5918.1 best solution, best possible 3161.7528 (19.17 seconds)
Cbc0010I After 147 nodes, 81 on tree, 5918.1 best solution, best possible 3161.7528 (19.89 seconds)
Cbc0010I After 201 nodes, 108 on tree, 5918.1 best solution, best possible 3161.7528 (20.61 seconds)
Cbc0010I After 255 nodes, 135 on tree, 5918.1 best solution, best possible 3161.7528 (21.32 seconds)
Cbc0010I After 309 nodes, 161 on tree, 5918.1 best solution, best possible 3161.7528 (22.03 seconds)
Cbc0010I After 362 nodes, 188 on tree, 5918.1 best solution, best possible 3161.7528 (22.73 seconds)
Cbc0010I After 416 nodes, 216 on tree, 5918.1 best solution, best possible 3161.7528 (23.44 seconds)
Cbc0010I After 471 nodes, 243 on tree, 5918.1 best solution, best possible 3161.7528 (24.15 seconds)
Cbc0010I After 539 nodes, 277 on tree, 5918.1 best solution, best possible 3161.7528 (24.85 seconds)
Cbc0010I After 601 nodes, 308 on tree, 5918.1 best solution, best possible 3161.7528 (25.55 seconds)
Cbc0010I After 669 nodes, 342 on tree, 5918.1 best solution, best possible 3161.7528 (26.27 seconds)
Cbc0010I After 757 nodes, 386 on tree, 5918.1 best solution, best possible 3161.7528 (26.98 seconds)
Cbc0010I After 849 nodes, 432 on tree, 5918.1 best solution, best possible 3161.7528 (27.68 seconds)
Cbc0010I After 951 nodes, 484 on tree, 5918.1 best solution, best possible 3161.7528 (28.39 seconds)
Cbc0010I After 1014 nodes, 522 on tree, 5918.1 best solution, best possible 3161.7528 (29.12 seconds)
Cbc0010I After 1048 nodes, 556 on tree, 5918.1 best solution, best possible 3161.7528 (29.83 seconds)
Cbc0010I After 1087 nodes, 595 on tree, 5918.1 best solution, best possible 3161.7528 (30.53 seconds)
Cbc0010I After 1136 nodes, 644 on tree, 5918.1 best solution, best possible 3161.7528 (31.24 seconds)
Cbc0010I After 1200 nodes, 708 on tree, 5918.1 best solution, best possible 3161.7528 (31.95 seconds)
Cbc0010I After 1255 nodes, 763 on tree, 5918.1 best solution, best possible 3161.7528 (32.66 seconds)
Cbc0010I After 1302 nodes, 810 on tree, 5918.1 best solution, best possible 3161.7528 (33.38 seconds)
Cbc0010I After 1352 nodes, 860 on tree, 5918.1 best solution, best possible 3161.7528 (34.08 seconds)
Cbc0010I After 1419 nodes, 927 on tree, 5918.1 best solution, best possible 3161.7528 (34.80 seconds)
Cbc0010I After 1475 nodes, 983 on tree, 5918.1 best solution, best possible 3161.7528 (35.51 seconds)
Cbc0010I After 1548 nodes, 1056 on tree, 5918.1 best solution, best possible 3161.7528 (36.21 seconds)
Cbc0010I After 1621 nodes, 1129 on tree, 5918.1 best solution, best possible 3161.7528 (36.92 seconds)
