Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-1593097.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-1593097.txt -quit (default strategy 1)
At line 1 NAME          neos-1593097
At line 2 ROWS
At line 802 COLUMNS
At line 114165 RHS
At line 114496 BOUNDS
At line 132697 ENDATA
Problem neos-1593097 has 798 rows, 18460 columns and 113308 elements
Coin0008I neos-1593097 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 4424 - 3.60112 seconds
Cgl0011I 208 variables made integer
Cgl0004I processed model has 746 rows, 18408 columns (18408 integer (18200 of which binary)) and 94848 elements
Coin3009W Conflict graph built in 1.349 seconds, density: 0.443%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 205 integers unsatisfied sum - 57.2435
Cbc0038I Pass   1: suminf.   31.02691 (123) obj. 12821.3 iterations 965
Cbc0038I Pass   2: suminf.   24.19730 (113) obj. 14176.8 iterations 262
Cbc0038I Pass   3: suminf.   21.93990 (113) obj. 14058.4 iterations 115
Cbc0038I Pass   4: suminf.   21.93990 (113) obj. 14058.4 iterations 0
Cbc0038I Pass   5: suminf.   18.78916 (110) obj. 15814.5 iterations 222
Cbc0038I Pass   6: suminf.   17.77662 (107) obj. 15954.6 iterations 70
Cbc0038I Pass   7: suminf.   17.72389 (104) obj. 15957.9 iterations 12
Cbc0038I Pass   8: suminf.   16.96529 (97) obj. 17647.9 iterations 178
Cbc0038I Pass   9: suminf.   14.53281 (88) obj. 18960.6 iterations 218
Cbc0038I Pass  10: suminf.   13.45497 (84) obj. 19565.7 iterations 184
Cbc0038I Pass  11: suminf.   12.64038 (95) obj. 19426.4 iterations 76
Cbc0038I Pass  12: suminf.   12.92235 (90) obj. 19303.6 iterations 154
Cbc0038I Pass  13: suminf.   12.52398 (90) obj. 19330 iterations 28
Cbc0038I Pass  14: suminf.   13.51107 (73) obj. 20350.4 iterations 259
Cbc0038I Pass  15: suminf.   11.53886 (71) obj. 20568.6 iterations 144
Cbc0038I Pass  16: suminf.   11.08671 (68) obj. 21400.4 iterations 163
Cbc0038I Pass  17: suminf.   11.08671 (68) obj. 21400.4 iterations 12
Cbc0038I Pass  18: suminf.   10.76177 (66) obj. 21553 iterations 174
Cbc0038I Pass  19: suminf.   10.68944 (67) obj. 21559.1 iterations 25
Cbc0038I Pass  20: suminf.   10.25647 (69) obj. 22159.6 iterations 193
Cbc0038I Pass  21: suminf.    9.66255 (65) obj. 22233.1 iterations 78
Cbc0038I Pass  22: suminf.    9.70590 (60) obj. 22761.1 iterations 173
Cbc0038I Pass  23: suminf.    9.23502 (65) obj. 22700.4 iterations 59
Cbc0038I Pass  24: suminf.    7.80216 (58) obj. 23111.9 iterations 168
Cbc0038I Pass  25: suminf.    7.51206 (59) obj. 23061 iterations 109
Cbc0038I Pass  26: suminf.    7.99670 (62) obj. 22850.8 iterations 275
Cbc0038I Pass  27: suminf.    7.49384 (63) obj. 22777.6 iterations 139
Cbc0038I Pass  28: suminf.    8.33834 (53) obj. 22664.6 iterations 128
Cbc0038I Pass  29: suminf.    7.37079 (53) obj. 22693.7 iterations 20
Cbc0038I Pass  30: suminf.    6.70225 (60) obj. 22756.4 iterations 63
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 17695 integers at bound fixed and 93 continuous
Cbc0038I Mini branch and bound did not improve solution (11.56 seconds)
Cbc0038I After 14.64 seconds - Feasibility pump exiting - took 7.50 seconds
Cbc0031I 555 added rows had average density of 108.54234
Cbc0013I At root node, 555 cuts changed objective from 4424 to 4436.7757 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (445 active)  in 26.545 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 132 row cuts average 276.6 elements, 0 column cuts (0 active)  in 2.333 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.057 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 1845 row cuts average 70.8 elements, 0 column cuts (0 active)  in 30.515 seconds - new frequency is 1
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.172 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.968 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 909 row cuts average 139.6 elements, 0 column cuts (0 active)  in 0.902 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 1134 row cuts average 70.3 elements, 0 column cuts (0 active)  in 0.511 seconds - new frequency is 1
Cbc0014I Cut generator 8 (TwoMirCuts) - 277 row cuts average 147.7 elements, 0 column cuts (0 active)  in 2.334 seconds - new frequency is -100
Cbc0014I Cut generator 9 (ZeroHalf) - 388 row cuts average 142.3 elements, 0 column cuts (0 active)  in 2.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 4436.7757 (229.20 seconds)
Cbc0010I After 58 nodes, 29 on tree, 1e+50 best solution, best possible 4436.7757 (463.73 seconds)
Cbc0010I After 59 nodes, 30 on tree, 1e+50 best solution, best possible 4436.7757 (473.14 seconds)
Cbc0010I After 60 nodes, 30 on tree, 1e+50 best solution, best possible 4436.7757 (481.87 seconds)
Cbc0010I After 61 nodes, 31 on tree, 1e+50 best solution, best possible 4436.7757 (483.88 seconds)
Cbc0010I After 62 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (485.52 seconds)
Cbc0010I After 64 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (487.57 seconds)
Cbc0010I After 66 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (490.27 seconds)
Cbc0010I After 67 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (492.09 seconds)
Cbc0010I After 68 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (497.70 seconds)
Cbc0010I After 69 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (506.76 seconds)
Cbc0010I After 70 nodes, 34 on tree, 1e+50 best solution, best possible 4436.7757 (512.56 seconds)
Cbc0010I After 74 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (514.62 seconds)
Cbc0010I After 75 nodes, 32 on tree, 1e+50 best solution, best possible 4436.7757 (517.35 seconds)
Cbc0010I After 76 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (527.28 seconds)
Cbc0010I After 78 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (533.96 seconds)
Cbc0010I After 79 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (543.66 seconds)
Cbc0010I After 80 nodes, 33 on tree, 1e+50 best solution, best possible 4436.7757 (545.82 seconds)
Cbc0010I After 81 nodes, 34 on tree, 1e+50 best solution, best possible 4436.7757 (548.95 seconds)
Cbc0010I After 82 nodes, 34 on tree, 1e+50 best solution, best possible 4436.7757 (552.16 seconds)
Cbc0010I After 83 nodes, 35 on tree, 1e+50 best solution, best possible 4436.7757 (553.94 seconds)
Cbc0010I After 85 nodes, 35 on tree, 1e+50 best solution, best possible 4436.7757 (556.40 seconds)
Cbc0010I After 86 nodes, 36 on tree, 1e+50 best solution, best possible 4436.7757 (557.57 seconds)
Cbc0010I After 87 nodes, 36 on tree, 1e+50 best solution, best possible 4436.7757 (560.14 seconds)
Cbc0010I After 88 nodes, 37 on tree, 1e+50 best solution, best possible 4436.7757 (570.17 seconds)
Cbc0010I After 89 nodes, 37 on tree, 1e+50 best solution, best possible 4436.7757 (578.39 seconds)
Cbc0010I After 90 nodes, 38 on tree, 1e+50 best solution, best possible 4436.7757 (580.87 seconds)
Cbc0010I After 91 nodes, 38 on tree, 1e+50 best solution, best possible 4436.7757 (584.94 seconds)
Cbc0010I After 92 nodes, 39 on tree, 1e+50 best solution, best possible 4436.7757 (586.43 seconds)
Cbc0010I After 93 nodes, 39 on tree, 1e+50 best solution, best possible 4436.7757 (588.55 seconds)
Cbc0010I After 94 nodes, 40 on tree, 1e+50 best solution, best possible 4436.7757 (590.27 seconds)
Cbc0010I After 95 nodes, 41 on tree, 1e+50 best solution, best possible 4436.7757 (592.13 seconds)
Cbc0010I After 96 nodes, 42 on tree, 1e+50 best solution, best possible 4436.7757 (597.72 seconds)
Cbc0010I After 100 nodes, 40 on tree, 1e+50 best solution, best possible 4436.7757 (599.02 seconds)
Cbc0010I After 101 nodes, 41 on tree, 1e+50 best solution, best possible 4436.7757 (600.52 seconds)
Cbc0010I After 102 nodes, 41 on tree, 1e+50 best solution, best possible 4436.7757 (602.81 seconds)
Cbc0010I After 103 nodes, 42 on tree, 1e+50 best solution, best possible 4436.7757 (611.54 seconds)
Cbc0010I After 104 nodes, 42 on tree, 1e+50 best solution, best possible 4436.7757 (622.34 seconds)
Cbc0010I After 105 nodes, 42 on tree, 1e+50 best solution, best possible 4436.7757 (624.89 seconds)
Cbc0010I After 106 nodes, 43 on tree, 1e+50 best solution, best possible 4436.7757 (627.15 seconds)
Cbc0010I After 107 nodes, 43 on tree, 1e+50 best solution, best possible 4436.7757 (628.32 seconds)
Cbc0010I After 108 nodes, 44 on tree, 1e+50 best solution, best possible 4436.7757 (633.12 seconds)
Cbc0010I After 110 nodes, 44 on tree, 1e+50 best solution, best possible 4436.7757 (641.39 seconds)
Cbc0010I After 111 nodes, 44 on tree, 1e+50 best solution, best possible 4436.7757 (651.34 seconds)
Cbc0010I After 112 nodes, 45 on tree, 1e+50 best solution, best possible 4436.7757 (660.51 seconds)
Cbc0010I After 113 nodes, 45 on tree, 1e+50 best solution, best possible 4436.7757 (668.72 seconds)
Cbc0010I After 114 nodes, 46 on tree, 1e+50 best solution, best possible 4436.7757 (670.61 seconds)
Cbc0010I After 115 nodes, 47 on tree, 1e+50 best solution, best possible 4436.7757 (672.15 seconds)
Cbc0010I After 116 nodes, 48 on tree, 1e+50 best solution, best possible 4436.7757 (673.35 seconds)
Cbc0010I After 117 nodes, 48 on tree, 1e+50 best solution, best possible 4436.7757 (675.09 seconds)
Cbc0010I After 118 nodes, 49 on tree, 1e+50 best solution, best possible 4436.7757 (680.21 seconds)
Cbc0010I After 119 nodes, 49 on tree, 1e+50 best solution, best possible 4436.7757 (689.27 seconds)
Cbc0010I After 120 nodes, 50 on tree, 1e+50 best solution, best possible 4436.7757 (695.07 seconds)
Cbc0010I After 122 nodes, 49 on tree, 1e+50 best solution, best possible 4436.7757 (696.66 seconds)
Cbc0010I After 123 nodes, 50 on tree, 1e+50 best solution, best possible 4436.7757 (697.75 seconds)
Cbc0010I After 124 nodes, 50 on tree, 1e+50 best solution, best possible 4436.7757 (699.78 seconds)
Cbc0010I After 125 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (707.29 seconds)
Cbc0010I After 126 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (715.72 seconds)
Cbc0010I After 127 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (723.20 seconds)
Cbc0010I After 130 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (730.02 seconds)
Cbc0010I After 131 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (739.28 seconds)
Cbc0010I After 132 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (742.01 seconds)
Cbc0010I After 134 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (743.43 seconds)
Cbc0010I After 135 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (745.26 seconds)
Cbc0010I After 136 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (746.84 seconds)
Cbc0010I After 137 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (748.41 seconds)
Cbc0010I After 138 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (750.19 seconds)
Cbc0010I After 139 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (751.86 seconds)
Cbc0010I After 141 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (755.06 seconds)
Cbc0010I After 143 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (757.46 seconds)
Cbc0010I After 144 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (759.67 seconds)
Cbc0010I After 147 nodes, 51 on tree, 1e+50 best solution, best possible 4436.7757 (761.99 seconds)
Cbc0010I After 148 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (764.27 seconds)
Cbc0010I After 149 nodes, 53 on tree, 1e+50 best solution, best possible 4436.7757 (769.69 seconds)
Cbc0010I After 151 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (772.03 seconds)
Cbc0010I After 152 nodes, 53 on tree, 1e+50 best solution, best possible 4436.7757 (780.20 seconds)
Cbc0010I After 153 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (784.50 seconds)
Cbc0010I After 155 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (790.57 seconds)
Cbc0010I After 157 nodes, 52 on tree, 1e+50 best solution, best possible 4436.7757 (792.82 seconds)
Cbc0010I After 158 nodes, 53 on tree, 1e+50 best solution, best possible 4436.7757 (794.22 seconds)
Cbc0010I After 159 nodes, 53 on tree, 1e+50 best solution, best possible 4436.7757 (797.21 seconds)
Cbc0010I After 160 nodes, 54 on tree, 1e+50 best solution, best possible 4436.7757 (798.59 seconds)
Cbc0010I After 161 nodes, 55 on tree, 1e+50 best solution, best possible 4436.7757 (799.97 seconds)
Cbc0010I After 162 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (806.67 seconds)
Cbc0010I After 163 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (815.71 seconds)
Cbc0010I After 164 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (817.44 seconds)
Cbc0010I After 166 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (823.06 seconds)
Cbc0010I After 168 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (826.08 seconds)
Cbc0010I After 169 nodes, 56 on tree, 1e+50 best solution, best possible 4436.7757 (828.91 seconds)
Cbc0010I After 170 nodes, 57 on tree, 1e+50 best solution, best possible 4436.7757 (830.35 seconds)
Cbc0010I After 172 nodes, 57 on tree, 1e+50 best solution, best possible 4436.7757 (832.16 seconds)
Cbc0010I After 173 nodes, 58 on tree, 1e+50 best solution, best possible 4436.7757 (833.62 seconds)
Cbc0010I After 174 nodes, 58 on tree, 1e+50 best solution, best possible 4436.7757 (838.73 seconds)
Cbc0010I After 175 nodes, 59 on tree, 1e+50 best solution, best possible 4436.7757 (844.74 seconds)
Cbc0010I After 176 nodes, 59 on tree, 1e+50 best solution, best possible 4436.7757 (853.40 seconds)
Cbc0010I After 177 nodes, 59 on tree, 1e+50 best solution, best possible 4436.7757 (855.48 seconds)
Cbc0010I After 178 nodes, 60 on tree, 1e+50 best solution, best possible 4436.7757 (856.92 seconds)
Cbc0010I After 179 nodes, 60 on tree, 1e+50 best solution, best possible 4436.7757 (858.41 seconds)
Cbc0010I After 180 nodes, 61 on tree, 1e+50 best solution, best possible 4436.7757 (865.31 seconds)
Cbc0010I After 181 nodes, 61 on tree, 1e+50 best solution, best possible 4436.7757 (873.03 seconds)
Cbc0010I After 182 nodes, 62 on tree, 1e+50 best solution, best possible 4436.7757 (881.90 seconds)
Cbc0010I After 183 nodes, 62 on tree, 1e+50 best solution, best possible 4436.7757 (891.05 seconds)
Cbc0010I After 184 nodes, 63 on tree, 1e+50 best solution, best possible 4436.7757 (892.54 seconds)
Cbc0010I After 185 nodes, 64 on tree, 1e+50 best solution, best possible 4436.7757 (894.14 seconds)
Cbc0010I After 186 nodes, 64 on tree, 1e+50 best solution, best possible 4436.7757 (896.14 seconds)
Cbc0010I After 187 nodes, 65 on tree, 1e+50 best solution, best possible 4436.7757 (902.02 seconds)
Cbc0010I After 188 nodes, 65 on tree, 1e+50 best solution, best possible 4436.7757 (910.53 seconds)
Cbc0010I After 189 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (915.58 seconds)
Cbc0010I After 191 nodes, 65 on tree, 1e+50 best solution, best possible 4436.7757 (918.15 seconds)
Cbc0010I After 192 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (919.72 seconds)
Cbc0010I After 193 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (921.69 seconds)
Cbc0010I After 194 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (925.75 seconds)
Cbc0010I After 195 nodes, 65 on tree, 1e+50 best solution, best possible 4436.7757 (929.74 seconds)
Cbc0010I After 196 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (935.16 seconds)
Cbc0010I After 198 nodes, 66 on tree, 1e+50 best solution, best possible 4436.7757 (937.23 seconds)
Cbc0010I After 199 nodes, 67 on tree, 1e+50 best solution, best possible 4436.7757 (938.38 seconds)
Cbc0010I After 200 nodes, 67 on tree, 1e+50 best solution, best possible 4436.7757 (939.98 seconds)
Cbc0010I After 201 nodes, 68 on tree, 1e+50 best solution, best possible 4436.7757 (941.55 seconds)
