Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-3627168-kasai.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-3627168-kasai.txt -quit (default strategy 1)
At line 1 NAME          neos-3627168-kasai
At line 2 ROWS
At line 1659 COLUMNS
At line 6823 RHS
At line 7818 BOUNDS
At line 8284 ENDATA
Problem neos-3627168-kasai has 1655 rows, 1462 columns and 5158 elements
Coin0008I neos-3627168-kasai read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 945808 - 0.207023 seconds
Cgl0004I processed model has 1652 rows, 1400 columns (476 integer (476 of which binary)) and 4158 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.012%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 157 integers unsatisfied sum - 43.2401
Cbc0038I Pass   1: suminf.   15.24531 (83) obj. 968401 iterations 500
Cbc0038I Pass   2: suminf.   12.29192 (79) obj. 969092 iterations 39
Cbc0038I Pass   3: suminf.    3.31194 (23) obj. 981104 iterations 116
Cbc0038I Pass   4: suminf.    0.88000 (12) obj. 989076 iterations 40
Cbc0038I Solution found of 991856
Cbc0038I Relaxing continuous gives 991523
Cbc0038I Before mini branch and bound, 263 integers at bound fixed and 324 continuous
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 400 rows 385 columns
Cbc0038I Mini branch and bound improved solution from 991523 to 989622 (1.48 seconds)
Cbc0038I Round again with cutoff of 986094
Cbc0038I Pass   5: suminf.   15.24531 (83) obj. 968401 iterations 0
Cbc0038I Pass   6: suminf.   12.29192 (79) obj. 969092 iterations 58
Cbc0038I Pass   7: suminf.    5.84577 (57) obj. 972228 iterations 66
Cbc0038I Pass   8: suminf.    1.52491 (20) obj. 982154 iterations 72
Cbc0038I Pass   9: suminf.    0.19204 (3) obj. 986094 iterations 84
Cbc0038I Pass  10: suminf.    0.17982 (3) obj. 986094 iterations 3
Cbc0038I Pass  11: suminf.    0.92859 (3) obj. 986094 iterations 28
Cbc0038I Pass  12: suminf.    0.13131 (2) obj. 986094 iterations 22
Cbc0038I Pass  13: suminf.    5.04140 (27) obj. 986094 iterations 261
Cbc0038I Pass  14: suminf.    3.50183 (19) obj. 986094 iterations 76
Cbc0038I Pass  15: suminf.    1.76272 (8) obj. 986094 iterations 90
Cbc0038I Pass  16: suminf.    1.65129 (9) obj. 986094 iterations 26
Cbc0038I Pass  17: suminf.    2.10612 (11) obj. 986094 iterations 43
Cbc0038I Pass  18: suminf.    2.11091 (11) obj. 986094 iterations 10
Cbc0038I Pass  19: suminf.    1.71634 (11) obj. 986094 iterations 50
Cbc0038I Pass  20: suminf.    1.71634 (11) obj. 986094 iterations 2
Cbc0038I Pass  21: suminf.    2.63233 (11) obj. 986094 iterations 51
Cbc0038I Pass  22: suminf.    2.61324 (13) obj. 986094 iterations 8
Cbc0038I Pass  23: suminf.    3.26009 (16) obj. 986094 iterations 48
Cbc0038I Pass  24: suminf.    3.25567 (18) obj. 986094 iterations 5
Cbc0038I Pass  25: suminf.    1.56725 (6) obj. 986094 iterations 86
Cbc0038I Pass  26: suminf.    1.26167 (6) obj. 986094 iterations 77
Cbc0038I Pass  27: suminf.   12.96482 (61) obj. 986094 iterations 353
Cbc0038I Pass  28: suminf.    8.46968 (48) obj. 986094 iterations 125
Cbc0038I Pass  29: suminf.    6.11743 (31) obj. 986094 iterations 154
Cbc0038I Pass  30: suminf.    5.07514 (28) obj. 986094 iterations 32
Cbc0038I Pass  31: suminf.    5.08030 (24) obj. 986094 iterations 111
Cbc0038I Pass  32: suminf.    4.21003 (22) obj. 986094 iterations 50
Cbc0038I Pass  33: suminf.    4.07728 (19) obj. 986094 iterations 46
Cbc0038I Pass  34: suminf.    3.95199 (20) obj. 986094 iterations 14
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 164 integers at bound fixed and 201 continuous
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 900 rows 787 columns - 108 fixed gives 644, 593 - ok now
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 644 rows 592 columns
Cbc0038I Mini branch and bound did not improve solution (3.13 seconds)
Cbc0038I After 3.13 seconds - Feasibility pump exiting with objective of 989622 - took 2.83 seconds
Cbc0012I Integer solution of 989621.93 found by feasibility pump after 0 iterations and 0 nodes (3.16 seconds)
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 642 rows 550 columns
Cbc0031I 211 added rows had average density of 7.7772512
Cbc0013I At root node, 211 cuts changed objective from 954341.03 to 967481.12 in 43 passes
Cbc0014I Cut generator 0 (Probing) - 1147 row cuts average 2.4 elements, 0 column cuts (93 active)  in 0.093 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 290 row cuts average 22.7 elements, 0 column cuts (0 active)  in 0.590 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 46 row cuts average 13.5 elements, 0 column cuts (0 active)  in 0.233 seconds - new frequency is 1
Cbc0014I Cut generator 3 (liftKnapsack) - 45 row cuts average 11.8 elements, 0 column cuts (0 active)  in 0.654 seconds - new frequency is 1
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 701 row cuts average 10.2 elements, 0 column cuts (0 active)  in 0.151 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 17 row cuts average 11.4 elements, 0 column cuts (0 active)  in 0.107 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 538 row cuts average 55.0 elements, 0 column cuts (0 active)  in 0.221 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 989621.93 best solution, best possible 967481.12 (10.19 seconds)
Cbc0010I After 1 nodes, 2 on tree, 989621.93 best solution, best possible 967481.12 (12.37 seconds)
Cbc0010I After 2 nodes, 3 on tree, 989621.93 best solution, best possible 967481.12 (13.46 seconds)
Cbc0010I After 4 nodes, 5 on tree, 989621.93 best solution, best possible 967481.12 (14.34 seconds)
Cbc0010I After 6 nodes, 7 on tree, 989621.93 best solution, best possible 967481.12 (15.77 seconds)
Cbc0010I After 13 nodes, 12 on tree, 989621.93 best solution, best possible 967481.12 (16.49 seconds)
Cbc0010I After 21 nodes, 17 on tree, 989621.93 best solution, best possible 967481.12 (17.28 seconds)
Cbc0010I After 26 nodes, 19 on tree, 989621.93 best solution, best possible 967481.12 (18.02 seconds)
Cbc0010I After 34 nodes, 20 on tree, 989621.93 best solution, best possible 967481.12 (18.78 seconds)
Cbc0010I After 43 nodes, 23 on tree, 989621.93 best solution, best possible 967481.12 (19.55 seconds)
Cbc0010I After 51 nodes, 24 on tree, 989621.93 best solution, best possible 967481.12 (20.38 seconds)
Cbc0010I After 61 nodes, 26 on tree, 989621.93 best solution, best possible 967481.12 (21.12 seconds)
Cbc0010I After 70 nodes, 29 on tree, 989621.93 best solution, best possible 967481.12 (21.86 seconds)
Cbc0010I After 78 nodes, 32 on tree, 989621.93 best solution, best possible 967481.12 (22.73 seconds)
Cbc0010I After 88 nodes, 33 on tree, 989621.93 best solution, best possible 967481.12 (23.44 seconds)
Cbc0010I After 95 nodes, 35 on tree, 989621.93 best solution, best possible 967481.12 (24.21 seconds)
Cbc0010I After 103 nodes, 39 on tree, 989621.93 best solution, best possible 967481.12 (24.97 seconds)
Cbc0010I After 111 nodes, 44 on tree, 989621.93 best solution, best possible 967481.12 (25.73 seconds)
Cbc0010I After 118 nodes, 47 on tree, 989621.93 best solution, best possible 967481.12 (26.47 seconds)
Cbc0010I After 129 nodes, 53 on tree, 989621.93 best solution, best possible 967481.12 (27.25 seconds)
Cbc0010I After 141 nodes, 58 on tree, 989621.93 best solution, best possible 967481.12 (27.99 seconds)
Cbc0010I After 153 nodes, 64 on tree, 989621.93 best solution, best possible 967481.12 (28.75 seconds)
Cbc0010I After 163 nodes, 70 on tree, 989621.93 best solution, best possible 967481.12 (29.50 seconds)
Cbc0010I After 171 nodes, 73 on tree, 989621.93 best solution, best possible 967481.12 (30.27 seconds)
Cbc0010I After 180 nodes, 79 on tree, 989621.93 best solution, best possible 967481.12 (30.99 seconds)
Cbc0010I After 191 nodes, 84 on tree, 989621.93 best solution, best possible 967481.12 (31.76 seconds)
Cbc0010I After 202 nodes, 88 on tree, 989621.93 best solution, best possible 967481.12 (32.54 seconds)
Cbc0010I After 213 nodes, 91 on tree, 989621.93 best solution, best possible 967481.12 (33.28 seconds)
Cbc0010I After 223 nodes, 96 on tree, 989621.93 best solution, best possible 967481.12 (34.05 seconds)
Cbc0010I After 236 nodes, 103 on tree, 989621.93 best solution, best possible 967481.12 (34.76 seconds)
Cbc0010I After 250 nodes, 109 on tree, 989621.93 best solution, best possible 967481.12 (35.52 seconds)
Cbc0010I After 263 nodes, 116 on tree, 989621.93 best solution, best possible 967481.12 (36.29 seconds)
Cbc0010I After 289 nodes, 124 on tree, 989621.93 best solution, best possible 967481.12 (37.06 seconds)
Cbc0010I After 314 nodes, 130 on tree, 989621.93 best solution, best possible 967481.12 (37.84 seconds)
Cbc0010I After 348 nodes, 136 on tree, 989621.93 best solution, best possible 967481.12 (38.55 seconds)
Cbc0010I After 396 nodes, 136 on tree, 989621.93 best solution, best possible 967481.12 (39.30 seconds)
Cbc0010I After 436 nodes, 138 on tree, 989621.93 best solution, best possible 967481.12 (40.00 seconds)
Cbc0010I After 474 nodes, 134 on tree, 989621.93 best solution, best possible 967481.12 (40.74 seconds)
Cbc0010I After 483 nodes, 138 on tree, 989621.93 best solution, best possible 967481.12 (41.48 seconds)
Cbc0010I After 508 nodes, 146 on tree, 989621.93 best solution, best possible 967481.12 (42.19 seconds)
Cbc0010I After 559 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (42.89 seconds)
Cbc0010I After 590 nodes, 148 on tree, 989621.93 best solution, best possible 967481.12 (43.61 seconds)
Cbc0010I After 627 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (44.33 seconds)
Cbc0010I After 653 nodes, 142 on tree, 989621.93 best solution, best possible 967481.12 (45.05 seconds)
Cbc0010I After 674 nodes, 141 on tree, 989621.93 best solution, best possible 967481.12 (45.76 seconds)
Cbc0010I After 681 nodes, 145 on tree, 989621.93 best solution, best possible 967481.12 (46.59 seconds)
Cbc0010I After 694 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (47.31 seconds)
Cbc0010I After 717 nodes, 150 on tree, 989621.93 best solution, best possible 967481.12 (48.05 seconds)
Cbc0010I After 757 nodes, 144 on tree, 989621.93 best solution, best possible 967481.12 (48.79 seconds)
Cbc0010I After 777 nodes, 149 on tree, 989621.93 best solution, best possible 967481.12 (49.52 seconds)
Cbc0010I After 801 nodes, 145 on tree, 989621.93 best solution, best possible 967481.12 (50.40 seconds)
Cbc0010I After 816 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (51.14 seconds)
Cbc0010I After 848 nodes, 149 on tree, 989621.93 best solution, best possible 967481.12 (51.86 seconds)
Cbc0010I After 870 nodes, 148 on tree, 989621.93 best solution, best possible 967481.12 (52.58 seconds)
Cbc0010I After 886 nodes, 148 on tree, 989621.93 best solution, best possible 967481.12 (53.28 seconds)
Cbc0010I After 904 nodes, 151 on tree, 989621.93 best solution, best possible 967481.12 (54.13 seconds)
Cbc0010I After 944 nodes, 158 on tree, 989621.93 best solution, best possible 967481.12 (55.00 seconds)
Cbc0010I After 952 nodes, 161 on tree, 989621.93 best solution, best possible 967481.12 (55.81 seconds)
Cbc0010I After 991 nodes, 163 on tree, 989621.93 best solution, best possible 967481.12 (56.75 seconds)
Cbc0010I After 997 nodes, 167 on tree, 989621.93 best solution, best possible 967481.12 (57.45 seconds)
