Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/methanosarcina.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/methanosarcina.txt -quit (default strategy 1)
At line 1 NAME           methanosarcina
At line 2 ROWS
At line 14608 COLUMNS
At line 65725 RHS
At line 75818 BOUNDS
At line 83749 ENDATA
Problem methanosarcina has 14604 rows, 7930 columns and 43812 elements
Coin0008I methanosarcina read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 5.93541 seconds
Cgl0004I processed model has 14604 rows, 7930 columns (7930 integer (7930 of which binary)) and 43812 elements
Coin3009W Conflict graph built in 0.007 seconds, density: 0.006%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 626 integers unsatisfied sum - 313
Cbc0038I Pass   1: (6.96 seconds) suminf.  310.50000 (621) obj. 6.5 iterations 502
Cbc0038I Pass   2: (7.04 seconds) suminf.  304.00000 (608) obj. 13 iterations 39
Cbc0038I Pass   3: (7.11 seconds) suminf.  304.00000 (608) obj. 13 iterations 10
Cbc0038I Pass   4: (7.19 seconds) suminf.  304.00000 (608) obj. 13 iterations 48
Cbc0038I Pass   5: (7.64 seconds) suminf.  304.00000 (608) obj. 13 iterations 734
Cbc0038I Pass   6: (7.88 seconds) suminf.  304.00000 (608) obj. 13 iterations 434
Cbc0038I Pass   7: (8.06 seconds) suminf.  304.00000 (608) obj. 13 iterations 350
Cbc0038I Pass   8: (8.27 seconds) suminf.  304.00000 (608) obj. 13 iterations 358
Cbc0038I Pass   9: (8.64 seconds) suminf.  304.00000 (608) obj. 13 iterations 369
Cbc0038I Pass  10: (9.02 seconds) suminf.  304.00000 (608) obj. 13 iterations 422
Cbc0038I Pass  11: (9.28 seconds) suminf.  304.00000 (608) obj. 13 iterations 377
Cbc0038I Pass  12: (9.62 seconds) suminf.  304.00000 (608) obj. 13 iterations 381
Cbc0038I Pass  13: (9.98 seconds) suminf.  304.00000 (608) obj. 13 iterations 395
Cbc0038I Pass  14: (10.34 seconds) suminf.  304.00000 (608) obj. 13 iterations 422
Cbc0038I Pass  15: (10.68 seconds) suminf.  304.00000 (608) obj. 13 iterations 381
Cbc0038I Pass  16: (11.23 seconds) suminf.  304.00000 (608) obj. 13 iterations 439
Cbc0038I Pass  17: (11.58 seconds) suminf.  304.00000 (608) obj. 13 iterations 406
Cbc0038I Pass  18: (12.20 seconds) suminf.  304.00000 (608) obj. 13 iterations 480
Cbc0038I Pass  19: (12.56 seconds) suminf.  304.00000 (608) obj. 13 iterations 387
Cbc0038I Pass  20: (12.80 seconds) suminf.  304.00000 (608) obj. 13 iterations 357
Cbc0038I Pass  21: (13.13 seconds) suminf.  304.00000 (608) obj. 13 iterations 435
Cbc0038I Pass  22: (13.50 seconds) suminf.  304.00000 (608) obj. 13 iterations 385
Cbc0038I Pass  23: (13.78 seconds) suminf.  304.00000 (608) obj. 13 iterations 379
Cbc0038I Pass  24: (14.21 seconds) suminf.  304.00000 (608) obj. 13 iterations 403
Cbc0038I Pass  25: (14.60 seconds) suminf.  304.00000 (608) obj. 13 iterations 409
Cbc0038I Pass  26: (14.99 seconds) suminf.  304.00000 (608) obj. 13 iterations 400
Cbc0038I Pass  27: (15.42 seconds) suminf.  304.00000 (608) obj. 13 iterations 445
Cbc0038I Pass  28: (15.95 seconds) suminf.  304.00000 (608) obj. 13 iterations 471
Cbc0038I Pass  29: (16.39 seconds) suminf.  304.00000 (608) obj. 13 iterations 445
Cbc0038I Pass  30: (16.74 seconds) suminf.  304.00000 (608) obj. 13 iterations 403
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 7291 integers at bound fixed and 0 continuous
Cbc0038I Mini branch and bound did not improve solution (16.99 seconds)
Cbc0038I After 16.99 seconds - Feasibility pump exiting - took 10.35 seconds
Cbc0031I 518 added rows had average density of 11.353282
Cbc0013I At root node, 518 cuts changed objective from 0 to 205.19695 in 50 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 1.492 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 33027 row cuts average 45.1 elements, 0 column cuts (0 active)  in 13.082 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 2 row cuts average 3.0 elements, 0 column cuts (0 active)  in 3.108 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 5 row cuts average 7.6 elements, 0 column cuts (0 active)  in 63.472 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.006 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.011 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 3 row cuts average 25.7 elements, 0 column cuts (0 active)  in 3.122 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.166 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 3736 row cuts average 12.7 elements, 0 column cuts (0 active)  in 4.330 seconds - new frequency is 1
Cbc0014I Cut generator 9 (ZeroHalf) - 3774 row cuts average 12.6 elements, 0 column cuts (0 active)  in 83.940 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 205.19695 (260.99 seconds)
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 205.19695 (309.98 seconds)
Cbc0010I After 2 nodes, 3 on tree, 1e+50 best solution, best possible 205.19695 (341.54 seconds)
Cbc0010I After 3 nodes, 4 on tree, 1e+50 best solution, best possible 205.19695 (376.50 seconds)
Cbc0010I After 4 nodes, 5 on tree, 1e+50 best solution, best possible 205.19695 (420.12 seconds)
Cbc0010I After 5 nodes, 6 on tree, 1e+50 best solution, best possible 205.19695 (454.53 seconds)
Cbc0010I After 6 nodes, 7 on tree, 1e+50 best solution, best possible 205.19695 (492.88 seconds)
Cbc0010I After 7 nodes, 8 on tree, 1e+50 best solution, best possible 205.19695 (528.09 seconds)
Cbc0010I After 8 nodes, 8 on tree, 1e+50 best solution, best possible 205.19695 (552.93 seconds)
Cbc0010I After 9 nodes, 9 on tree, 1e+50 best solution, best possible 205.19695 (573.73 seconds)
Cbc0010I After 10 nodes, 9 on tree, 1e+50 best solution, best possible 205.19695 (591.12 seconds)
Cbc0010I After 11 nodes, 10 on tree, 1e+50 best solution, best possible 205.19695 (604.28 seconds)
Cbc0010I After 12 nodes, 11 on tree, 1e+50 best solution, best possible 205.19695 (619.29 seconds)
Cbc0010I After 13 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (634.46 seconds)
Cbc0010I After 14 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (648.92 seconds)
Cbc0010I After 15 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (667.42 seconds)
Cbc0010I After 16 nodes, 12 on tree, 1e+50 best solution, best possible 205.19695 (684.96 seconds)
Cbc0010I After 17 nodes, 13 on tree, 1e+50 best solution, best possible 205.19695 (702.59 seconds)
Cbc0010I After 18 nodes, 13 on tree, 1e+50 best solution, best possible 205.19695 (722.20 seconds)
Cbc0010I After 19 nodes, 14 on tree, 1e+50 best solution, best possible 205.19695 (741.78 seconds)
Cbc0010I After 20 nodes, 14 on tree, 1e+50 best solution, best possible 205.19695 (755.51 seconds)
Cbc0010I After 21 nodes, 15 on tree, 1e+50 best solution, best possible 205.19695 (775.40 seconds)
Cbc0010I After 22 nodes, 15 on tree, 1e+50 best solution, best possible 205.19695 (794.01 seconds)
Cbc0010I After 23 nodes, 16 on tree, 1e+50 best solution, best possible 205.19695 (809.67 seconds)
Cbc0010I After 24 nodes, 16 on tree, 1e+50 best solution, best possible 205.19695 (828.35 seconds)
Cbc0010I After 25 nodes, 17 on tree, 1e+50 best solution, best possible 205.19695 (849.20 seconds)
Cbc0010I After 26 nodes, 17 on tree, 1e+50 best solution, best possible 205.19695 (863.56 seconds)
Cbc0010I After 27 nodes, 18 on tree, 1e+50 best solution, best possible 205.19695 (887.49 seconds)
Cbc0010I After 28 nodes, 18 on tree, 1e+50 best solution, best possible 205.19695 (912.74 seconds)
Cbc0010I After 29 nodes, 19 on tree, 1e+50 best solution, best possible 205.19695 (929.03 seconds)
Cbc0010I After 30 nodes, 19 on tree, 1e+50 best solution, best possible 205.19695 (946.85 seconds)
Cbc0010I After 31 nodes, 20 on tree, 1e+50 best solution, best possible 205.19695 (963.63 seconds)
Cbc0010I After 32 nodes, 20 on tree, 1e+50 best solution, best possible 205.19695 (981.42 seconds)
Cbc0010I After 33 nodes, 21 on tree, 1e+50 best solution, best possible 205.19695 (1000.92 seconds)
Cbc0010I After 34 nodes, 21 on tree, 1e+50 best solution, best possible 205.19695 (1020.39 seconds)
Cbc0010I After 35 nodes, 22 on tree, 1e+50 best solution, best possible 205.19695 (1037.99 seconds)
Cbc0010I After 36 nodes, 22 on tree, 1e+50 best solution, best possible 205.19695 (1059.15 seconds)
Cbc0010I After 37 nodes, 23 on tree, 1e+50 best solution, best possible 205.19695 (1077.71 seconds)
Cbc0010I After 38 nodes, 23 on tree, 1e+50 best solution, best possible 205.19695 (1097.48 seconds)
Cbc0010I After 39 nodes, 24 on tree, 1e+50 best solution, best possible 205.19695 (1114.62 seconds)
Cbc0010I After 40 nodes, 24 on tree, 1e+50 best solution, best possible 205.19695 (1130.97 seconds)
Cbc0010I After 41 nodes, 25 on tree, 1e+50 best solution, best possible 205.19695 (1148.59 seconds)
Cbc0010I After 42 nodes, 25 on tree, 1e+50 best solution, best possible 205.19695 (1174.52 seconds)
Cbc0010I After 43 nodes, 26 on tree, 1e+50 best solution, best possible 205.19695 (1193.05 seconds)
Cbc0010I After 44 nodes, 26 on tree, 1e+50 best solution, best possible 205.19695 (1209.07 seconds)
Cbc0010I After 45 nodes, 27 on tree, 1e+50 best solution, best possible 205.19695 (1232.29 seconds)
Cbc0010I After 46 nodes, 27 on tree, 1e+50 best solution, best possible 205.19695 (1253.66 seconds)
Cbc0010I After 47 nodes, 28 on tree, 1e+50 best solution, best possible 205.19695 (1271.55 seconds)
Cbc0010I After 48 nodes, 28 on tree, 1e+50 best solution, best possible 205.19695 (1287.97 seconds)
Cbc0010I After 49 nodes, 29 on tree, 1e+50 best solution, best possible 205.19695 (1302.20 seconds)
Cbc0010I After 50 nodes, 29 on tree, 1e+50 best solution, best possible 205.19695 (1325.00 seconds)
Cbc0010I After 51 nodes, 30 on tree, 1e+50 best solution, best possible 205.19695 (1340.97 seconds)
Cbc0010I After 52 nodes, 30 on tree, 1e+50 best solution, best possible 205.19695 (1356.52 seconds)
Cbc0010I After 53 nodes, 31 on tree, 1e+50 best solution, best possible 205.19695 (1367.95 seconds)
Cbc0010I After 54 nodes, 31 on tree, 1e+50 best solution, best possible 205.19695 (1384.55 seconds)
