SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/neos-4647032-veleka.mps.gz> ...

original problem has 18200 variables (12600 bin, 0 int, 0 impl, 5600 cont) and 8382 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 18200 variables (12600 bin, 0 int, 0 impl, 5600 cont) and 8382 constraints
   8382 constraints of type <linear>
Presolving Time: 0.24

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 45.8s|     1 |     0 | 15818 |     - |   726M |   0 |  18k|9782 |9782 |   0 |  0 |   0 |   0 | 2.658791e+04 |      --      |    Inf | unknown
 51.7s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  1 |   0 |   5 | 2.658830e+04 |      --      |    Inf | unknown
 57.0s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  2 |   0 |  10 | 2.658830e+04 |      --      |    Inf | unknown
 62.2s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  3 |   0 |  15 | 2.658830e+04 |      --      |    Inf | unknown
 67.5s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  4 |   0 |  20 | 2.658830e+04 |      --      |    Inf | unknown
 72.7s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  5 |   0 |  25 | 2.658838e+04 |      --      |    Inf | unknown
 78.0s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  6 |   0 |  30 | 2.658838e+04 |      --      |    Inf | unknown
 83.2s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  7 |   0 |  35 | 2.658838e+04 |      --      |    Inf | unknown
 88.5s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  8 |   0 |  40 | 2.658838e+04 |      --      |    Inf | unknown
 93.7s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 |  9 |   0 |  45 | 2.658838e+04 |      --      |    Inf | unknown
 98.8s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 10 |   0 |  50 | 2.658840e+04 |      --      |    Inf | unknown
  104s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 11 |   0 |  55 | 2.658840e+04 |      --      |    Inf | unknown
  109s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 12 |   0 |  60 | 2.658840e+04 |      --      |    Inf | unknown
  115s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 13 |   0 |  65 | 2.658841e+04 |      --      |    Inf | unknown
  121s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 14 |   0 |  71 | 2.658841e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  126s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 15 |   0 |  76 | 2.658841e+04 |      --      |    Inf | unknown
  131s|     1 |     0 | 15822 |     - |   740M |   0 |  18k|9782 |9782 |   0 | 16 |   0 |  81 | 2.658842e+04 |      --      |    Inf | unknown
  137s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 17 |   0 |  86 | 2.658842e+04 |      --      |    Inf | unknown
  142s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 18 |   0 |  91 | 2.658842e+04 |      --      |    Inf | unknown
  147s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 19 |   0 |  96 | 2.658842e+04 |      --      |    Inf | unknown
  152s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 20 |   0 | 101 | 2.658842e+04 |      --      |    Inf | unknown
  158s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 21 |   0 | 106 | 2.658842e+04 |      --      |    Inf | unknown
  163s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 22 |   0 | 111 | 2.658842e+04 |      --      |    Inf | unknown
  168s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 23 |   0 | 116 | 2.658842e+04 |      --      |    Inf | unknown
  173s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 24 |   0 | 121 | 2.658842e+04 |      --      |    Inf | unknown
  178s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 25 |   0 | 126 | 2.658842e+04 |      --      |    Inf | unknown
  183s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 26 |   0 | 131 | 2.658842e+04 |      --      |    Inf | unknown
  189s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 27 |   0 | 136 | 2.658842e+04 |      --      |    Inf | unknown
  194s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 28 |   0 | 141 | 2.658842e+04 |      --      |    Inf | unknown
  200s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 29 |   0 | 147 | 2.658842e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  205s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 30 |   0 | 152 | 2.658842e+04 |      --      |    Inf | unknown
  211s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 31 |   0 | 157 | 2.658842e+04 |      --      |    Inf | unknown
  216s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 32 |   0 | 162 | 2.658842e+04 |      --      |    Inf | unknown
  221s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 33 |   0 | 167 | 2.658842e+04 |      --      |    Inf | unknown
  226s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 34 |   0 | 172 | 2.658842e+04 |      --      |    Inf | unknown
  232s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 35 |   0 | 177 | 2.658842e+04 |      --      |    Inf | unknown
  237s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 36 |   0 | 182 | 2.658842e+04 |      --      |    Inf | unknown
  242s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 37 |   0 | 187 | 2.658844e+04 |      --      |    Inf | unknown
  247s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 38 |   0 | 192 | 2.658844e+04 |      --      |    Inf | unknown
  253s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 39 |   0 | 197 | 2.658844e+04 |      --      |    Inf | unknown
  258s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 40 |   0 | 202 | 2.658844e+04 |      --      |    Inf | unknown
  263s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 41 |   0 | 207 | 2.658844e+04 |      --      |    Inf | unknown
  268s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 42 |   0 | 212 | 2.658844e+04 |      --      |    Inf | unknown
  274s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 43 |   0 | 217 | 2.658844e+04 |      --      |    Inf | unknown
  279s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 44 |   0 | 222 | 2.658844e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  284s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 45 |   0 | 227 | 2.658844e+04 |      --      |    Inf | unknown
  290s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 46 |   0 | 232 | 2.658844e+04 |      --      |    Inf | unknown
  295s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 47 |   0 | 237 | 2.658846e+04 |      --      |    Inf | unknown
  300s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 48 |   0 | 242 | 2.658846e+04 |      --      |    Inf | unknown
  305s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 49 |   0 | 247 | 2.658846e+04 |      --      |    Inf | unknown
  311s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 50 |   0 | 252 | 2.658846e+04 |      --      |    Inf | unknown
  316s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 51 |   0 | 257 | 2.658846e+04 |      --      |    Inf | unknown
  321s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 52 |   0 | 262 | 2.658846e+04 |      --      |    Inf | unknown
  326s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 53 |   0 | 267 | 2.658846e+04 |      --      |    Inf | unknown
  332s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 54 |   0 | 272 | 2.658848e+04 |      --      |    Inf | unknown
  337s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 55 |   0 | 277 | 2.658848e+04 |      --      |    Inf | unknown
  342s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 56 |   0 | 282 | 2.658848e+04 |      --      |    Inf | unknown
  347s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 57 |   0 | 287 | 2.658848e+04 |      --      |    Inf | unknown
  353s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 58 |   0 | 292 | 2.658848e+04 |      --      |    Inf | unknown
  358s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 59 |   0 | 297 | 2.658848e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  363s|     1 |     0 | 15822 |     - |   741M |   0 |  18k|9782 |9782 |   0 | 60 |   0 | 302 | 2.658848e+04 |      --      |    Inf | unknown
  368s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 61 |   0 | 307 | 2.658848e+04 |      --      |    Inf | unknown
  374s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 62 |   0 | 312 | 2.658848e+04 |      --      |    Inf | unknown
  379s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 63 |   0 | 317 | 2.658849e+04 |      --      |    Inf | unknown
  384s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 64 |   0 | 322 | 2.658849e+04 |      --      |    Inf | unknown
  390s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 65 |   0 | 327 | 2.658849e+04 |      --      |    Inf | unknown
  395s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 66 |   0 | 332 | 2.658849e+04 |      --      |    Inf | unknown
  400s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 67 |   0 | 337 | 2.658849e+04 |      --      |    Inf | unknown
  405s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 68 |   0 | 342 | 2.658849e+04 |      --      |    Inf | unknown
  411s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 69 |   0 | 347 | 2.658849e+04 |      --      |    Inf | unknown
  416s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 70 |   0 | 352 | 2.658849e+04 |      --      |    Inf | unknown
  421s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 71 |   0 | 357 | 2.658851e+04 |      --      |    Inf | unknown
  426s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 72 |   0 | 362 | 2.658851e+04 |      --      |    Inf | unknown
  432s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 73 |   0 | 367 | 2.658851e+04 |      --      |    Inf | unknown
  437s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 74 |   0 | 372 | 2.658851e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  442s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 75 |   0 | 377 | 2.658851e+04 |      --      |    Inf | unknown
  447s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 76 |   0 | 382 | 2.658851e+04 |      --      |    Inf | unknown
  453s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 77 |   0 | 387 | 2.658851e+04 |      --      |    Inf | unknown
  458s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 78 |   0 | 392 | 2.658851e+04 |      --      |    Inf | unknown
  463s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 79 |   0 | 397 | 2.658851e+04 |      --      |    Inf | unknown
  469s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 80 |   0 | 402 | 2.658851e+04 |      --      |    Inf | unknown
  474s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 81 |   0 | 407 | 2.658851e+04 |      --      |    Inf | unknown
  479s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 82 |   0 | 412 | 2.658851e+04 |      --      |    Inf | unknown
  484s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 83 |   0 | 417 | 2.658851e+04 |      --      |    Inf | unknown
  490s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 84 |   0 | 422 | 2.658851e+04 |      --      |    Inf | unknown
  495s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 85 |   0 | 427 | 2.658851e+04 |      --      |    Inf | unknown
  501s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 86 |   0 | 433 | 2.658851e+04 |      --      |    Inf | unknown
  506s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 87 |   0 | 438 | 2.658851e+04 |      --      |    Inf | unknown
  511s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 88 |   0 | 443 | 2.658851e+04 |      --      |    Inf | unknown
  517s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 89 |   0 | 448 | 2.658851e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  522s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 90 |   0 | 453 | 2.658851e+04 |      --      |    Inf | unknown
  527s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 91 |   0 | 458 | 2.658851e+04 |      --      |    Inf | unknown
  532s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 92 |   0 | 463 | 2.658851e+04 |      --      |    Inf | unknown
  538s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 93 |   0 | 468 | 2.658851e+04 |      --      |    Inf | unknown
  543s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 94 |   0 | 473 | 2.658851e+04 |      --      |    Inf | unknown
  548s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 95 |   0 | 478 | 2.658851e+04 |      --      |    Inf | unknown
  554s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 96 |   0 | 483 | 2.658851e+04 |      --      |    Inf | unknown
  559s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 97 |   0 | 488 | 2.658851e+04 |      --      |    Inf | unknown
  564s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 98 |   0 | 493 | 2.658851e+04 |      --      |    Inf | unknown
  569s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 | 99 |   0 | 498 | 2.658851e+04 |      --      |    Inf | unknown
  575s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |100 |   0 | 503 | 2.658851e+04 |      --      |    Inf | unknown
  580s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |101 |   0 | 508 | 2.658851e+04 |      --      |    Inf | unknown
  585s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |102 |   0 | 513 | 2.658851e+04 |      --      |    Inf | unknown
  590s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |103 |   0 | 518 | 2.658851e+04 |      --      |    Inf | unknown
  600s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |104 |   0 | 523 | 2.658851e+04 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  611s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |105 |   0 | 528 | 2.658851e+04 |      --      |    Inf | unknown
  621s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |106 |   0 | 533 | 2.658851e+04 |      --      |    Inf | unknown
  631s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |107 |   0 | 538 | 2.658851e+04 |      --      |    Inf | unknown
  642s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |108 |   0 | 543 | 2.658851e+04 |      --      |    Inf | unknown
  652s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |109 |   0 | 548 | 2.658851e+04 |      --      |    Inf | unknown
  662s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |110 |   0 | 553 | 2.658851e+04 |      --      |    Inf | unknown
  672s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |111 |   0 | 558 | 2.658851e+04 |      --      |    Inf | unknown
  682s|     1 |     0 | 15822 |     - |   742M |   0 |  18k|9782 |9782 |   0 |112 |   0 | 563 | 2.658851e+04 |      --      |    Inf | unknown
