SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/neos-932721.mps.gz> ...

Warning line 18089: row "R18087" for objective function "N" ignored
original problem has 22266 variables (21825 bin, 0 int, 0 impl, 441 cont) and 18085 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 22266 variables (21825 bin, 0 int, 0 impl, 441 cont) and 18085 constraints
  18085 constraints of type <linear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.9s|     1 |     0 | 16902 |     - |    90M |   0 |  22k|3883 |3883 |   0 |  0 |   0 |   0 | 2.377000e+03 |      --      |    Inf | unknown
 18.6s|     1 |     0 | 30430 |     - |    94M |   0 |  22k|3882 |3883 |   0 |  1 |   5 |  17 | 2.377000e+03 |      --      |    Inf | unknown
 29.7s|     1 |     0 | 42614 |     - |    94M |   0 |  22k|3881 |3883 |   0 |  2 |  10 |  29 | 2.377000e+03 |      --      |    Inf | unknown
 40.0s|     1 |     0 | 55407 |     - |    94M |   0 |  22k|3880 |3883 |   0 |  3 |  15 |  39 | 2.377000e+03 |      --      |    Inf | unknown
 44.9s|     1 |     0 | 56203 |     - |    94M |   0 |  22k|3879 |3883 |   0 |  4 |  20 |  53 | 2.377000e+03 |      --      |    Inf | unknown
 56.2s|     1 |     0 | 69214 |     - |    94M |   0 |  22k|3878 |3883 |   0 |  5 |  25 |  66 | 2.377500e+03 |      --      |    Inf | unknown
 69.3s|     1 |     0 | 82203 |     - |    95M |   0 |  22k|3876 |3883 |   0 |  6 |  30 |  80 | 2.379500e+03 |      --      |    Inf | unknown
 80.9s|     1 |     0 | 94589 |     - |    95M |   0 |  22k|3874 |3883 |   0 |  7 |  35 |  94 | 2.381500e+03 |      --      |    Inf | unknown
 92.2s|     1 |     0 |107358 |     - |    95M |   0 |  22k|3872 |3883 |   0 |  8 |  40 | 107 | 2.383500e+03 |      --      |    Inf | unknown
  104s|     1 |     0 |119935 |     - |    95M |   0 |  22k|3870 |3883 |   0 |  9 |  45 | 120 | 2.386500e+03 |      --      |    Inf | unknown
  117s|     1 |     0 |132426 |     - |    95M |   0 |  22k|3868 |3883 |   0 | 10 |  50 | 134 | 2.388500e+03 |      --      |    Inf | unknown
  129s|     1 |     0 |145155 |     - |    95M |   0 |  22k|3866 |3883 |   0 | 11 |  55 | 146 | 2.391000e+03 |      --      |    Inf | unknown
  139s|     1 |     0 |157489 |     - |    95M |   0 |  22k|3864 |3883 |   0 | 12 |  60 | 156 | 2.392000e+03 |      --      |    Inf | unknown
