SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/neos2.mps.gz> ...

original problem has 2101 variables (1040 bin, 0 int, 0 impl, 1061 cont) and 1103 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 2101 variables (1040 bin, 0 int, 0 impl, 1061 cont) and 1103 constraints
   1103 constraints of type <linear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   734 |     - |    10M |   0 |2101 |1103 |1103 |   0 |  0 |   0 |   0 |-4.717667e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   824 |     - |    12M |   0 |2101 |1102 |1103 |   0 |  1 |   2 |  11 |-4.600454e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   841 |     - |    12M |   0 |2101 |1100 |1103 |   0 |  2 |   2 |  14 |-4.507327e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   854 |     - |    12M |   0 |2101 |1099 |1103 |   0 |  3 |   4 |  16 |-4.506443e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   865 |     - |    12M |   0 |2101 |1097 |1103 |   0 |  4 |   4 |  18 |-4.460471e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   879 |     - |    12M |   0 |2101 |1095 |1103 |   0 |  5 |   4 |  20 |-4.415586e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   889 |     - |    12M |   0 |2101 |1093 |1103 |   0 |  6 |   4 |  22 |-4.371553e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   897 |     - |    12M |   0 |2101 |1091 |1103 |   0 |  7 |   4 |  24 |-4.328709e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   909 |     - |    12M |   0 |2101 |1089 |1103 |   0 |  8 |   4 |  26 |-4.286926e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |   923 |     - |    12M |   0 |2101 |1087 |1103 |   0 |  9 |   4 |  28 |-4.246922e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   934 |     - |    12M |   0 |2101 |1085 |1103 |   0 | 10 |   4 |  30 |-4.208585e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   944 |     - |    12M |   0 |2101 |1083 |1103 |   0 | 11 |   4 |  32 |-4.171614e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   957 |     - |    12M |   0 |2101 |1081 |1103 |   0 | 12 |   4 |  34 |-4.136078e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   970 |     - |    13M |   0 |2101 |1081 |1103 |   0 | 13 |   7 |  36 |-4.102014e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   982 |     - |    13M |   0 |2101 |1081 |1104 |   1 | 14 |   7 |  36 |-4.010378e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.2s|     1 |     0 |   994 |     - |    13M |   0 |2101 |1080 |1104 |   1 | 14 |   7 |  38 |-3.982718e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1004 |     - |    13M |   0 |2101 |1078 |1104 |   1 | 15 |   7 |  40 |-3.956315e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1014 |     - |    13M |   0 |2101 |1076 |1104 |   1 | 16 |   7 |  42 |-3.931206e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1026 |     - |    13M |   0 |2101 |1074 |1104 |   1 | 17 |   7 |  44 |-3.907519e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1038 |     - |    13M |   0 |2101 |1072 |1104 |   1 | 18 |   7 |  46 |-3.885045e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1047 |     - |    13M |   0 |2101 |1070 |1104 |   1 | 19 |   7 |  48 |-3.863765e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1054 |     - |    13M |   0 |2101 |1068 |1104 |   1 | 20 |   7 |  50 |-3.843200e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1064 |     - |    13M |   0 |2101 |1066 |1104 |   1 | 21 |   7 |  52 |-3.823665e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1071 |     - |    13M |   0 |2101 |1066 |1104 |   1 | 22 |  10 |  54 |-3.804690e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1075 |     - |    13M |   0 |2101 |1067 |1104 |   1 | 23 |  13 |  58 |-3.786572e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1085 |     - |    13M |   0 |2101 |1067 |1105 |   2 | 24 |  13 |  58 |-3.786572e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1090 |     - |    13M |   0 |2101 |1066 |1105 |   2 | 24 |  13 |  61 |-3.786572e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1095 |     - |    13M |   0 |2101 |1065 |1105 |   2 | 25 |  15 |  63 |-3.786572e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1099 |     - |    13M |   0 |2101 |1064 |1105 |   2 | 26 |  17 |  67 |-3.687477e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1109 |     - |    13M |   0 |2101 |1064 |1105 |   2 | 27 |  20 |  69 |-3.684033e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.3s|     1 |     0 |  1126 |     - |    13M |   0 |2101 |1064 |1106 |   3 | 28 |  20 |  69 |-3.496930e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1133 |     - |    13M |   0 |2101 |1063 |1106 |   3 | 28 |  20 |  71 |-3.472258e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1141 |     - |    13M |   0 |2101 |1061 |1106 |   3 | 29 |  20 |  73 |-3.448487e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1148 |     - |    13M |   0 |2101 |1059 |1106 |   3 | 30 |  20 |  75 |-3.425158e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1153 |     - |    13M |   0 |2101 |1057 |1106 |   3 | 31 |  20 |  77 |-3.402242e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1158 |     - |    13M |   0 |2101 |1055 |1106 |   3 | 32 |  20 |  79 |-3.379775e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1163 |     - |    13M |   0 |2101 |1053 |1106 |   3 | 33 |  20 |  81 |-3.358221e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1168 |     - |    13M |   0 |2101 |1051 |1106 |   3 | 34 |  20 |  83 |-3.337066e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1173 |     - |    13M |   0 |2101 |1049 |1106 |   3 | 35 |  20 |  85 |-3.316295e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1178 |     - |    13M |   0 |2101 |1047 |1106 |   3 | 36 |  20 |  87 |-3.296124e+03 |      --      |    Inf | unknown
