SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/neos-931538.mps.gz> ...

Warning line 5968: row "R5966" for objective function "N" ignored
original problem has 7920 variables (7920 bin, 0 int, 0 impl, 0 cont) and 5964 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 7920 variables (7920 bin, 0 int, 0 impl, 0 cont) and 5964 constraints
   5964 constraints of type <linear>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.7s|     1 |     0 | 11619 |     - |    37M |   0 |7920 |6096 |6096 |   0 |  0 |   0 |   0 | 9.850000e+02 |      --      |    Inf | unknown
  2.1s|     1 |     0 | 11682 |     - |    45M |   0 |7920 |6096 |6124 |  28 |  1 |   0 |   0 | 9.850000e+02 |      --      |    Inf | unknown
  2.3s|     1 |     0 | 11701 |     - |    45M |   0 |7920 |6096 |6130 |  34 |  2 |   0 |   0 | 9.850000e+02 |      --      |    Inf | unknown
  2.5s|     1 |     0 | 11712 |     - |    45M |   0 |7920 |6096 |6133 |  37 |  3 |   0 |   0 | 9.850000e+02 |      --      |    Inf | unknown
  2.8s|     1 |     0 | 11784 |     - |    46M |   0 |7920 |6096 |6133 |  37 |  4 |   5 |   5 | 9.850000e+02 |      --      |    Inf | unknown
  3.0s|     1 |     0 | 11796 |     - |    46M |   0 |7920 |6096 |6138 |  42 |  5 |   5 |   5 | 9.850000e+02 |      --      |    Inf | unknown
  3.0s|     1 |     0 | 11884 |     - |    46M |   0 |7920 |6106 |6150 |  42 |  5 |  10 |  10 | 9.850000e+02 |      --      |    Inf | unknown
  3.3s|     1 |     0 | 11982 |     - |    46M |   0 |7920 |6105 |6151 |  42 |  6 |  14 |  15 | 9.850000e+02 |      --      |    Inf | unknown
  3.5s|     1 |     0 | 11996 |     - |    46M |   0 |7920 |6105 |6154 |  45 |  7 |  14 |  15 | 9.850000e+02 |      --      |    Inf | unknown
  3.6s|     1 |     0 | 12087 |     - |    46M |   0 |7920 |6105 |6154 |  45 |  7 |  19 |  20 | 9.850000e+02 |      --      |    Inf | unknown
  3.8s|     1 |     0 | 12100 |     - |    46M |   0 |7920 |6105 |6156 |  47 |  8 |  19 |  20 | 9.850000e+02 |      --      |    Inf | unknown
  5.6s|     1 |     0 | 12193 |     - |    47M |   0 |7920 |6100 |6157 |  47 |  8 |  24 |  42 | 9.850000e+02 |      --      |    Inf | unknown
  5.8s|     1 |     0 | 12211 |     - |    47M |   0 |7920 |6100 |6158 |  48 |  9 |  24 |  42 | 9.850000e+02 |      --      |    Inf | unknown
  5.9s|     1 |     0 | 12329 |     - |    47M |   0 |7920 |6099 |6159 |  48 |  9 |  28 |  47 | 9.850000e+02 |      --      |    Inf | unknown
  6.1s|     1 |     0 | 12340 |     - |    47M |   0 |7920 |6099 |6160 |  49 | 10 |  28 |  47 | 9.850000e+02 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.3s|     1 |     0 | 12422 |     - |    47M |   0 |7920 |6099 |6160 |  49 | 10 |  33 |  53 | 9.850000e+02 |      --      |    Inf | unknown
  6.7s|     1 |     0 | 12539 |     - |    47M |   0 |7920 |6094 |6163 |  49 | 11 |  36 |  60 | 9.850000e+02 |      --      |    Inf | unknown
  6.9s|     1 |     0 | 12549 |     - |    47M |   0 |7920 |6094 |6166 |  52 | 12 |  36 |  60 | 9.850000e+02 |      --      |    Inf | unknown
  6.9s|     1 |     0 | 12637 |     - |    48M |   0 |7920 |6093 |6167 |  52 | 12 |  40 |  65 | 9.850000e+02 |      --      |    Inf | unknown
  7.2s|     1 |     0 | 12652 |     - |    48M |   0 |7920 |6093 |6039 |  56 | 13 |  40 |  65 | 9.850000e+02 |      --      |    Inf | unknown
  8.1s|     1 |     0 | 12756 |     - |    48M |   0 |7920 |6093 |6039 |  56 | 13 |  45 |  78 | 9.850000e+02 |      --      |    Inf | unknown
  8.3s|     1 |     0 | 12763 |     - |    48M |   0 |7920 |6093 |6040 |  57 | 14 |  45 |  78 | 9.850000e+02 |      --      |    Inf | unknown
  8.5s|     1 |     0 | 12870 |     - |    48M |   0 |7920 |6089 |6042 |  57 | 14 |  49 |  84 | 9.850000e+02 |      --      |    Inf | unknown
  8.8s|     1 |     0 | 12965 |     - |    48M |   0 |7920 |6089 |6042 |  57 | 15 |  54 |  90 | 9.850000e+02 |      --      |    Inf | unknown
  9.0s|     1 |     0 | 13025 |     - |    48M |   0 |7920 |6088 |6043 |  57 | 16 |  59 |  95 | 9.850000e+02 |      --      |    Inf | unknown
  9.5s|     1 |     0 | 13141 |     - |    48M |   0 |7920 |6088 |6043 |  57 | 17 |  64 | 104 | 9.850000e+02 |      --      |    Inf | unknown
  9.7s|     1 |     0 | 13145 |     - |    48M |   0 |7920 |6088 |6044 |  58 | 18 |  64 | 104 | 9.850000e+02 |      --      |    Inf | unknown
  9.8s|     1 |     0 | 13251 |     - |    48M |   0 |7920 |6084 |6046 |  58 | 18 |  68 | 110 | 9.850000e+02 |      --      |    Inf | unknown
