SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/30n20b8.mps.gz> ...

original problem has 18380 variables (18318 bin, 62 int, 0 impl, 0 cont) and 576 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 18380 variables (18318 bin, 62 int, 0 impl, 0 cont) and 576 constraints
    576 constraints of type <linear>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.05

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  5.5s|     1 |     0 |  7548 |     - |    71M |   0 |  18k| 527 | 527 |   0 |  0 |   0 |   0 | 4.333557e+01 |      --      |    Inf | unknown
  6.0s|     1 |     0 |  7617 |     - |    78M |   0 |  18k| 527 | 538 |  11 |  1 |   0 |   0 | 4.376625e+01 |      --      |    Inf | unknown
  6.5s|     1 |     0 |  7735 |     - |    78M |   0 |  18k| 527 | 549 |  22 |  2 |   0 |   0 | 4.422035e+01 |      --      |    Inf | unknown
  7.4s|     1 |     0 |  7886 |     - |    84M |   0 |  18k| 527 | 568 |  41 |  3 |   0 |   0 | 4.469308e+01 |      --      |    Inf | unknown
  8.4s|     1 |     0 |  8124 |     - |    84M |   0 |  18k| 527 | 587 |  60 |  4 |   0 |   0 | 4.536786e+01 |      --      |    Inf | unknown
  9.4s|     1 |     0 |  8186 |     - |    91M |   0 |  18k| 527 | 614 |  87 |  5 |   0 |   0 | 4.574199e+01 |      --      |    Inf | unknown
 10.6s|     1 |     0 |  8471 |     - |    92M |   0 |  18k| 527 | 633 | 106 |  6 |   0 |   0 | 4.616549e+01 |      --      |    Inf | unknown
 12.0s|     1 |     0 |  8798 |     - |    92M |   0 |  18k| 527 | 660 | 133 |  7 |   0 |   0 | 4.730061e+01 |      --      |    Inf | unknown
 13.1s|     1 |     0 |  8962 |     - |    93M |   0 |  18k| 527 | 687 | 160 |  8 |   0 |   0 | 4.916329e+01 |      --      |    Inf | unknown
 14.8s|     1 |     0 | 10028 |     - |    95M |   0 |  18k| 527 | 714 | 187 |  9 |   0 |   0 | 6.244570e+01 |      --      |    Inf | unknown
