SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/neos-4647030-tutaki.mps.gz> ...

original problem has 12600 variables (7000 bin, 0 int, 0 impl, 5600 cont) and 8382 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 12600 variables (7000 bin, 0 int, 0 impl, 5600 cont) and 8382 constraints
   8382 constraints of type <linear>
Presolving Time: 0.24

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 28.0s|     1 |     0 | 12184 |     - |   710M |   0 |  12k|9782 |9782 |   0 |  0 |   0 |   0 | 2.691164e+04 |      --      |    Inf | unknown
 28.8s|     1 |     0 | 12187 |     - |   716M |   0 |  12k|9782 |9785 |   3 |  1 |   0 |   0 | 2.691164e+04 |      --      |    Inf | unknown
 34.2s|     1 |     0 | 12198 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  2 |   0 |   5 | 2.691164e+04 |      --      |    Inf | unknown
 39.6s|     1 |     0 | 12202 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  3 |   0 |  10 | 2.691164e+04 |      --      |    Inf | unknown
 45.0s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  4 |   0 |  15 | 2.691164e+04 |      --      |    Inf | unknown
 50.1s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  5 |   0 |  20 | 2.691164e+04 |      --      |    Inf | unknown
 55.3s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  6 |   0 |  25 | 2.691164e+04 |      --      |    Inf | unknown
 60.5s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  7 |   0 |  30 | 2.691164e+04 |      --      |    Inf | unknown
 65.7s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  8 |   0 |  35 | 2.691164e+04 |      --      |    Inf | unknown
 70.9s|     1 |     0 | 12203 |     - |   718M |   0 |  12k|9782 |9785 |   3 |  9 |   0 |  40 | 2.691164e+04 |      --      |    Inf | unknown
