SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/ns1760995.mps.gz> ...

original problem has 17956 variables (17822 bin, 0 int, 0 impl, 134 cont) and 615388 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 17956 variables (17822 bin, 0 int, 0 impl, 134 cont) and 615388 constraints
 615388 constraints of type <linear>
Presolving Time: 0.10

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 30.1s|     1 |     0 | 19966 |     - |  1143M |   0 |  17k| 615k| 615k|   0 |  0 |   0 |   0 |-1.379173e+03 |      --      |    Inf | unknown
 46.9s|     1 |     0 | 24318 |     - |  1176M |   0 |  17k| 615k| 615k|   0 |  1 |   3 |  10 |-1.372507e+03 |      --      |    Inf | unknown
 51.6s|     1 |     0 | 26819 |     - |  1176M |   0 |  17k| 614k| 615k|   0 |  2 |   4 |  15 |-1.369816e+03 |      --      |    Inf | unknown
 54.9s|     1 |     0 | 29554 |     - |  1177M |   0 |  17k| 614k| 615k|   0 |  3 |   6 |  20 |-1.364532e+03 |      --      |    Inf | unknown
 60.5s|     1 |     0 | 33130 |     - |  1177M |   0 |  17k| 613k| 615k|   0 |  4 |   7 |  26 |-1.357324e+03 |      --      |    Inf | unknown
 65.4s|     1 |     0 | 35171 |     - |  1180M |   0 |  17k| 613k| 615k|   0 |  5 |  12 |  32 |-1.353360e+03 |      --      |    Inf | unknown
 81.5s|     1 |     0 | 35202 |     - |  1191M |   0 |  17k| 612k| 615k|   0 |  6 |  13 |  44 |-1.353360e+03 |      --      |    Inf | unknown
 89.4s|     1 |     0 | 35249 |     - |  1220M |   0 |  17k| 612k| 615k|   0 |  7 |  15 |  51 |-1.353360e+03 |      --      |    Inf | unknown
 91.8s|     1 |     0 | 35893 |     - |  1225M |   0 |  17k| 612k| 615k|   0 |  8 |  18 |  56 |-1.352535e+03 |      --      |    Inf | unknown
  115s|     1 |     0 | 39014 |     - |  1226M |   0 |  17k| 611k| 615k|   0 |  9 |  18 |  67 |-1.348210e+03 |      --      |    Inf | unknown
  122s|     1 |     0 | 40560 |     - |  1226M |   0 |  17k| 610k| 615k|   0 | 10 |  18 |  75 |-1.346086e+03 |      --      |    Inf | unknown
  124s|     1 |     0 | 41400 |     - |  1226M |   0 |  17k| 610k| 615k|   0 | 11 |  19 |  80 |-1.346061e+03 |      --      |    Inf | unknown
  127s|     1 |     0 | 43587 |     - |  1226M |   0 |  17k| 609k| 615k|   0 | 12 |  19 |  85 |-1.342550e+03 |      --      |    Inf | unknown
  129s|     1 |     0 | 45304 |     - |  1226M |   0 |  17k| 608k| 615k|   0 | 13 |  19 |  90 |-1.336126e+03 |      --      |    Inf | unknown
  147s|     1 |     0 | 47247 |     - |  1230M |   0 |  17k| 608k| 615k|   0 | 14 |  20 | 102 |-1.333654e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  176s|     1 |     0 | 48944 |     - |  1230M |   0 |  17k| 607k| 615k|   0 | 15 |  23 | 115 |-1.330140e+03 |      --      |    Inf | unknown
  194s|     1 |     0 | 50252 |     - |  1230M |   0 |  17k| 607k| 615k|   0 | 16 |  25 | 132 |-1.326602e+03 |      --      |    Inf | unknown
  198s|     1 |     0 | 51298 |     - |  1230M |   0 |  17k| 607k| 615k|   0 | 17 |  26 | 139 |-1.326547e+03 |      --      |    Inf | unknown
  236s|     1 |     0 | 53927 |     - |  1232M |   0 |  17k| 606k| 615k|   0 | 18 |  27 | 162 |-1.318338e+03 |      --      |    Inf | unknown
  298s|     1 |     0 | 54701 |     - |  1232M |   0 |  17k| 606k| 615k|   0 | 19 |  31 | 187 |-1.318338e+03 |      --      |    Inf | unknown
  305s|     1 |     0 | 55072 |     - |  1237M |   0 |  17k| 605k| 615k|   0 | 20 |  33 | 196 |-1.318337e+03 |      --      |    Inf | unknown
  317s|     1 |     0 | 56161 |     - |  1238M |   0 |  17k| 604k| 615k|   0 | 21 |  33 | 205 |-1.318226e+03 |      --      |    Inf | unknown
