SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/maxgasflow.mps.gz> ...

original problem has 7437 variables (2456 bin, 0 int, 0 impl, 4981 cont) and 7160 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 7437 variables (2456 bin, 0 int, 0 impl, 4981 cont) and 7160 constraints
   7160 constraints of type <linear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.3s|     1 |     0 |  5588 |     - |    33M |   0 |7437 |6562 |6562 |   0 |  0 |   0 |   0 |-6.868493e+07 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  5823 |     - |    36M |   0 |7437 |6553 |6562 |   0 |  1 |   0 |   8 |-6.868107e+07 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  5829 |     - |    36M |   0 |7437 |6544 |6562 |   0 |  2 |   0 |  19 |-6.862140e+07 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  5832 |     - |    36M |   0 |7437 |6535 |6562 |   0 |  3 |   0 |  25 |-6.862140e+07 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  5838 |     - |    36M |   0 |7437 |6526 |6562 |   0 |  4 |   0 |  37 |-6.862140e+07 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  5846 |     - |    36M |   0 |7437 |6520 |6562 |   0 |  5 |   0 |  42 |-6.862140e+07 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  5852 |     - |    36M |   0 |7437 |6511 |6562 |   0 |  6 |   0 |  46 |-6.862140e+07 |      --      |    Inf | unknown
  1.3s|     1 |     0 |  5855 |     - |    36M |   0 |7437 |6502 |6562 |   0 |  7 |   0 |  49 |-6.862140e+07 |      --      |    Inf | unknown
  1.4s|     1 |     0 |  5861 |     - |    36M |   0 |7437 |6493 |6562 |   0 |  8 |   0 |  52 |-6.862140e+07 |      --      |    Inf | unknown
  1.5s|     1 |     0 |  5864 |     - |    36M |   0 |7437 |6484 |6562 |   0 |  9 |   0 |  55 |-6.862140e+07 |      --      |    Inf | unknown
  1.7s|     1 |     0 |  5870 |     - |    36M |   0 |7437 |6475 |6562 |   0 | 10 |   0 |  60 |-6.862140e+07 |      --      |    Inf | unknown
  1.8s|     1 |     0 |  5875 |     - |    36M |   0 |7437 |6460 |6562 |   0 | 11 |   0 |  64 |-6.862140e+07 |      --      |    Inf | unknown
  1.9s|     1 |     0 |  5881 |     - |    36M |   0 |7437 |6451 |6562 |   0 | 12 |   0 |  69 |-6.862140e+07 |      --      |    Inf | unknown
  2.0s|     1 |     0 |  5884 |     - |    36M |   0 |7437 |6442 |6562 |   0 | 13 |   0 |  76 |-6.858789e+07 |      --      |    Inf | unknown
