Optimal - objective value 24.16319444
   6034 UseArc[209,213]                                                  1              0.72569444
   6162 UseArc[213,235]                                                  1                  1.1875
   6810 UseArc[235,241]                                                  1              0.95833333
   6979 UseArc[241,258]                                                  1              0.99652778
   7459 UseArc[258,267]                                                  1              0.75208333
   7722 UseArc[267,281]                                                  1              0.91458333
   8124 UseArc[281,287]                                                  1              0.33680556
   8315 UseArc[287,297]                                                  1              0.99791667
   8611 UseArc[297,310]                                                  1              0.80069444
   8975 UseArc[310,322]                                                  1              0.24305556
   9329 UseArc[322,324]                                                  1              0.66319444
   9393 UseArc[324,342]                                                  1               1.3368056
   9905 UseArc[342,351]                                                  1              0.70486111
  10167 UseArc[351,356]                                                  1                    0.25
  10297 UseArc[356,374]                                                  1              0.79861111
  10826 UseArc[374,381]                                                  1               1.2430556
  11032 UseArc[381,391]                                                  1              0.96180556
  11322 UseArc[391,414]                                                  1               1.0416667
  12000 UseArc[414,417]                                                  1              0.70833333
  12075 UseArc[417,430]                                                  1                    1.25
  12469 UseArc[430,439]                                                  1              0.74652778
  12707 UseArc[439,445]                                                  1                    0.25
  12901 UseArc[445,457]                                                  1              0.77083333
  13231 UseArc[457,478]                                                  1               1.2951389
  13849 UseArc[478,494]                                                  1               1.0590278
  14316 UseArc[494,502]                                                  1              0.73263889
  14530 UseArc[502,511]                                                  1              0.26736111
  14812 UseArc[511,518]                                                  1               1.0034722
  15001 UseArc[518,535]                                                  1                       1
  68147 UseArc[0,209]                                                    1              0.16666667
  70877 UseArc[535,2405]                                                 1                       0
